iter,f,grad_norm,time_ms
1,0,147.995294129405,0.001048
2,-4.43854639544665,122.591206066619,0.016221
3,-7.96153404090972,97.9704443375182,0.01893
4,-10.5789727457586,74.8654069158578,0.021304
5,-12.344136802143,54.5685100040696,0.023718
6,-13.3715140244245,39.3648752486348,0.026008
7,-13.8353293297567,32.389085115254,0.028178
8,-13.9385104791457,33.8347841255773,0.030427
9,-13.8711977549324,38.9659336257695,0.032617
10,-13.7802069776212,43.8444768655249,0.034705
11,-13.7578569627532,46.9427654480199,0.036973
12,-13.8468751074021,47.910386781722,0.039087
13,-14.0521061184151,46.8498658422449,0.041258
14,-14.3527287963506,44.0440668321259,0.043455
15,-14.7133220947423,39.8608040488211,0.045622
16,-15.0935297478392,34.7243726298638,0.047833
17,-15.4558959762787,29.1185204257961,0.049871
18,-15.7714831909747,23.6154768928503,0.051967
19,-16.0230779504607,18.927815839367,0.054043
20,-16.2059277038957,15.8907107251176,0.056145
21,-16.326156265692,15.0389213422738,0.058251
22,-16.3973761359038,15.9269834938933,0.060395
23,-16.4364175437446,17.4798728447642,0.062455
24,-16.4592716774843,18.8518128518018,0.064437
25,-16.4781595392149,19.6171291610008,0.066553
26,-16.500183705512,19.6390528074407,0.068654
27,-16.5275210213954,18.9570148549244,0.070764
28,-16.5587451282453,17.723810208742,0.072812
29,-16.5906883902625,16.1684440572187,0.074874
30,-16.620246361438,14.564830240336,0.076938
31,-16.6456556362534,13.1871759472357,0.07902
32,-16.6669953925887,12.2354881925136,0.081076
33,-16.6859195814854,11.7503597208098,0.083211
34,-16.704850827401,11.5936951722114,0.085309
35,-16.725993548082,11.5341126620171,0.087505
36,-16.7505220243909,11.3597079197253,0.089631
37,-16.7781878981658,10.9401312639862,0.09179
38,-16.8074255766314,10.2389979405191,0.09396
39,-16.8358739870036,9.30624899055112,0.096079
40,-16.8611218611723,8.26772408192554,0.098176
41,-16.88143973978,7.31177582728992,0.100196
42,-16.8962847783656,6.65066739831461,0.102266
43,-16.9064416230964,6.42239867995351,0.104243
44,-16.913772544938,6.58126984633588,0.106377
45,-16.9206638095574,6.92401762815553,0.108365
46,-16.9293410189316,7.22480419338222,0.110395
47,-16.9412579569017,7.32129068948491,0.112376
48,-16.9567319669612,7.12878015976795,0.114345
49,-16.9749166015286,6.6294556061897,0.11633
50,-16.9940985758051,5.86111463716269,0.118402
51,-17.012214473624,4.91222515251779,0.120345
52,-17.0274285255515,3.92878115582245,0.122346
53,-17.0386072539637,3.13704988179072,0.124339
54,-17.0455670944615,2.81802548843802,0.126375
55,-17.0490435199334,3.04725723695985,0.128328
56,-17.0504133009399,3.55398800582012,0.130256
57,-17.0512707163824,4.04914094983298,0.132244
58,-17.0529928722384,4.37741131959446,0.134187
59,-17.0564193831173,4.47868330909706,0.136112
60,-17.0617238510453,4.3507730931122,0.138125
61,-17.0684881465403,4.0320823470082,0.140115
62,-17.075929137916,3.59361296451993,0.142071
63,-17.0831898548567,3.13418792063017,0.144106
64,-17.0896011481181,2.76975384870321,0.146042
65,-17.0948427450322,2.59586148680032,0.148011
66,-17.0989732618088,2.62373395356858,0.149966
67,-17.1023426682433,2.76985826810737,0.151907
68,-17.1054341749624,2.92701366267782,0.153881
69,-17.1086964791476,3.02108408887423,0.155735
70,-17.1124198779011,3.02083358227045,0.15768
71,-17.1166863357163,2.9296843463691,0.159718
72,-17.1213943248579,2.77571103053794,0.161626
73,-17.1263348901808,2.60144344602715,0.163529
74,-17.131283325309,2.45117983233404,0.165467
75,-17.1360730220642,2.35530078768822,0.167454
76,-17.1406311602484,2.31805813529119,0.169389
77,-17.1449734168555,2.31930414294984,0.171342
78,-17.1491698490201,2.32978114345214,0.173234
79,-17.1533016757729,2.32720015434804,0.175186
80,-17.1574274712011,2.30410877036985,0.177088
81,-17.1615693715975,2.267552531297,0.179084
82,-17.1657195426271,2.23327404485566,0.180976
83,-17.1698588200406,2.2168579284832,0.182838
84,-17.1739760583173,2.22520237900476,0.184774
85,-17.1780787763435,2.25286104196656,0.186667
86,-17.1821913957308,2.28534028868336,0.188548
87,-17.186343733959,2.30647467230182,0.190488
88,-17.1905566265519,2.3051930609088,0.192379
89,-17.1948321008522,2.27912656318803,0.194329
90,-17.1991526559273,2.23481192120563,0.196339
