iter,f,grad_norm,time_ms
1,-4.43846,147.995,3.59086
2,-7.9612,122.592,3.64182
3,-10.5782,97.9729,3.64583
4,-12.3429,74.8704,3.64859
5,-13.3699,54.5779,3.65107
6,-13.8335,39.3799,3.65341
7,-13.9368,32.4055,3.65564
8,-13.8698,33.843,3.65794
9,-13.7792,38.9651,3.66032
10,-13.7573,43.8369,3.66265
11,-13.8469,46.9302,3.6649
12,-14.0526,47.8943,3.66715
13,-14.3536,46.8326,3.66938
14,-14.7145,44.0275,3.67146
15,-15.095,39.8461,3.67356
16,-15.4576,34.7125,3.67577
17,-15.7734,29.1102,3.67783
18,-16.0252,23.6115,3.68
19,-16.2083,18.9288,3.68221
20,-16.3287,15.8959,3.68434
21,-16.4002,15.0462,3.68646
22,-16.4394,15.9328,3.68874
23,-16.4625,17.4816,3.69081
24,-16.4816,18.8488,3.69286
25,-16.5038,19.6104,3.69493
26,-16.5313,19.6294,3.69704
27,-16.5627,18.9447,3.69907
28,-16.5948,17.7085,3.70114
29,-16.6245,16.1493,3.70319
30,-16.65,14.5407,3.70527
31,-16.6714,13.1574,3.70749
32,-16.6903,12.2004,3.70971
33,-16.7091,11.7115,3.71186
34,-16.73,11.553,3.71409
35,-16.7542,11.4933,3.71636
36,-16.7814,11.3198,3.71848
37,-16.8102,10.9011,3.7206
38,-16.8381,10.1995,3.72284
39,-16.8628,9.26345,3.72498
40,-16.8825,8.21781,3.72703
41,-16.8967,7.25038,3.72911
42,-16.9061,6.57491,3.73125
43,-16.9127,6.33315,3.73333
44,-16.9187,6.48247,3.73527
45,-16.9265,6.81862,3.73716
46,-16.9374,7.11295,3.73903
47,-16.9518,7.20096,3.74095
48,-16.9688,6.99627,3.74295
49,-16.9868,6.47927,3.74486
50,-17.0036,5.68433,3.74677
51,-17.0175,4.69389,3.75699
52,-17.0273,3.64516,3.75996
53,-17.0328,2.76395,3.76208
54,-17.0348,2.38252,3.76407
55,-17.0346,2.63561,3.76603
56,-17.0338,3.1956,3.76801
57,-17.0339,3.72859,3.77002
58,-17.0355,4.07533,3.772
59,-17.039,4.17849,3.77402
60,-17.0438,4.03641,3.77602
61,-17.0493,3.68493,3.77806
62,-17.0545,3.19016,3.78004
63,-17.0588,2.64713,3.782
64,-17.0619,2.18146,3.78397
