iter,f,grad_norm,time_ms
1,-4.43846,147.995,0.014243
2,-7.9612,122.592,0.060892
3,-10.5782,97.9729,0.064779
4,-12.3429,74.8705,0.067717
5,-13.3699,54.578,0.070619
6,-13.8335,39.3799,0.073338
7,-13.9368,32.4055,0.075935
8,-13.8698,33.843,0.078558
9,-13.7792,38.965,0.081185
10,-13.7574,43.8368,0.083825
11,-13.8469,46.9301,0.086447
12,-14.0526,47.8942,0.089016
13,-14.3536,46.8326,0.09162
14,-14.7145,44.0275,0.094161
15,-15.095,39.8462,0.09666
16,-15.4576,34.7126,0.116383
17,-15.7735,29.1103,0.120486
18,-16.0253,23.6116,0.123747
19,-16.2083,18.9289,0.126723
20,-16.3288,15.896,0.129536
21,-16.4002,15.0463,0.132212
22,-16.4394,15.9328,0.134707
23,-16.4625,17.4816,0.137266
24,-16.4816,18.8488,0.139772
25,-16.5039,19.6104,0.142333
26,-16.5314,19.6294,0.144927
27,-16.5628,18.9447,0.147488
28,-16.5949,17.7085,0.150025
29,-16.6246,16.1493,0.152573
30,-16.6501,14.5407,0.155119
31,-16.6715,13.1574,0.157753
32,-16.6903,12.2004,0.160275
33,-16.7091,11.7116,0.162832
34,-16.73,11.553,0.165483
35,-16.7542,11.4933,0.168216
36,-16.7815,11.3198,0.170655
37,-16.8102,10.9011,0.173189
38,-16.8381,10.1995,0.175732
39,-16.8628,9.26348,0.178348
40,-16.8825,8.21783,0.180829
41,-16.8967,7.2504,0.183343
42,-16.9062,6.5749,0.185796
43,-16.9127,6.33314,0.188258
44,-16.9188,6.48246,0.190758
45,-16.9265,6.81861,0.193171
46,-16.9374,7.11295,0.195521
47,-16.9518,7.20097,0.197881
48,-16.9689,6.99631,0.200305
49,-16.9868,6.47932,0.202784
50,-17.0036,5.68439,0.205167
51,-17.0175,4.69397,0.213361
52,-17.0273,3.64523,0.215921
53,-17.0328,2.76402,0.2184
54,-17.0348,2.38255,0.220849
55,-17.0346,2.63561,0.223219
56,-17.0339,3.19559,0.22557
57,-17.0339,3.72858,0.227969
58,-17.0356,4.07533,0.230384
59,-17.039,4.17851,0.2328
60,-17.0439,4.03644,0.235296
61,-17.0493,3.68497,0.237702
62,-17.0545,3.19021,0.240117
63,-17.0589,2.64719,0.242423
64,-17.0619,2.18152,0.244553
65,-17.0639,1.92909,0.24725
66,-17.065,1.94152,0.249459
67,-17.0657,2.11711,0.251566
68,-17.0665,2.30939,0.253527
69,-17.0678,2.42511,0.255696
70,-17.0695,2.42757,0.258097
71,-17.0715,2.31871,0.260463
72,-17.0738,2.12655,0.262903
73,-17.076,1.89686,0.265287
74,-17.078,1.68425,0.267662
75,-17.0797,1.53636,0.270029
76,-17.0812,1.47049,0.272448
77,-17.0824,1.46271,0.274862
78,-17.0835,1.46819,0.277074
79,-17.0846,1.45027,0.279416
80,-17.0856,1.39381,0.281814
81,-17.0865,1.30533,0.284158
82,-17.0875,1.20816,0.286498
83,-17.0883,1.13322,0.288974
84,-17.089,1.10333,0.291343
85,-17.0897,1.11754,0.293751
86,-17.0904,1.15179,0.296139
87,-17.0911,1.17563,0.298533
88,-17.0918,1.16672,0.300965
89,-17.0925,1.11623,0.303338
90,-17.0932,1.02917,0.305722
91,-17.0938,0.923172,0.30812
92,-17.0943,0.825764,0.310607
93,-17.0948,0.766232,0.313064
94,-17.0952,0.75848,0.315448
95,-17.0956,0.78879,0.317813
96,-17.096,0.827346,0.32027
97,-17.0964,0.847713,0.322799
98,-17.0969,0.835178,0.325213
99,-17.0974,0.787,0.327678
100,-17.0978,0.710874,0.330083
101,-17.0982,0.623574,0.33827
102,-17.0986,0.548918,0.341181
103,-17.0989,0.510411,0.343675
104,-17.0992,0.515396,0.346056
105,-17.0995,0.547692,0.34858
106,-17.0997,0.582536,0.351006
107,-17.1,0.601728,0.353398
108,-17.1003,0.597013,0.355883
109,-17.1005,0.568506,0.358415
110,-17.1008,0.522676,0.360787
111,-17.101,0.470467,0.363204
112,-17.1012,0.424785,0.365676
113,-17.1014,0.396078,0.368046
114,-17.1016,0.386828,0.370475
115,-17.1018,0.390335,0.372917
116,-17.102,0.396245,0.375358
117,-17.1021,0.396644,0.377754
118,-17.1023,0.388342,0.380258
119,-17.1025,0.372426,0.382692
120,-17.1026,0.352785,0.385121
121,-17.1028,0.334197,0.387513
122,-17.1029,0.320231,0.389945
123,-17.103,0.311721,0.392435
124,-17.1031,0.30681,0.394894
125,-17.1032,0.302489,0.397346
126,-17.1034,0.296378,0.399728
127,-17.1035,0.287662,0.402162
128,-17.1036,0.277061,0.404629
129,-17.1037,0.266139,0.407078
130,-17.1037,0.256352,0.409497
131,-17.1038,0.248274,0.41188
132,-17.1039,0.241411,0.414243
133,-17.104,0.234666,0.416678
134,-17.1041,0.2271,0.419098
135,-17.1041,0.2185,0.421597
136,-17.1042,0.2095,0.424094
137,-17.1042,0.201246,0.426535
138,-17.1043,0.194765,0.428857
139,-17.1044,0.190353,0.431248
140,-17.1044,0.187381,0.433663
141,-17.1045,0.184627,0.436144
142,-17.1045,0.180909,0.438537
143,-17.1045,0.175588,0.440909
144,-17.1046,0.168771,0.443319
145,-17.1046,0.161201,0.445741
146,-17.1047,0.153903,0.448194
147,-17.1047,0.147727,0.450548
148,-17.1047,0.142972,0.452913
149,-17.1048,0.13931,0.455419
150,-17.1048,0.136044,0.457928
151,-17.1048,0.132506,0.465551
152,-17.1049,0.128366,0.468457
153,-17.1049,0.123715,0.470892
154,-17.1049,0.11894,0.473305
155,-17.1049,0.114491,0.475674
156,-17.1049,0.110639,0.478138
157,-17.105,0.107361,0.480528
158,-17.105,0.104393,0.483002
159,-17.105,0.101403,0.485417
160,-17.105,0.0981759,0.487865
161,-17.105,0.0946918,0.490342
162,-17.105,0.0911034,0.492787
163,-17.1051,0.0876263,0.495211
164,-17.1051,0.0844168,0.497634
165,-17.1051,0.0815008,0.50014
166,-17.1051,0.07879,0.502585
167,-17.1051,0.0761614,0.505087
168,-17.1051,0.0735459,0.507461
169,-17.1051,0.0709681,0.509935
170,-17.1051,0.0685207,0.512389
171,-17.1051,0.0662929,0.514815
172,-17.1051,0.0642991,0.517191
173,-17.1052,0.062454,0.519634
174,-17.1052,0.0606102,0.522168
175,-17.1052,0.0586325,0.52466
176,-17.1052,0.0564657,0.527089
177,-17.1052,0.0541601,0.529534
178,-17.1052,0.0518467,0.532018
179,-17.1052,0.0496733,0.534388
180,-17.1052,0.047734,0.53683
181,-17.1052,0.0460281,0.539283
182,-17.1052,0.0444721,0.541724
183,-17.1052,0.0429542,0.544135
184,-17.1052,0.0413959,0.546514
185,-17.1052,0.0397891,0.548973
186,-17.1052,0.0381908,0.551379
187,-17.1052,0.0366852,0.553803
188,-17.1052,0.0353335,0.556202
189,-17.1052,0.0341387,0.558576
190,-17.1052,0.0330449,0.56094
191,-17.1052,0.0319686,0.563413
192,-17.1052,0.0308409,0.565731
193,-17.1052,0.0296373,0.568153
194,-17.1052,0.028382,0.570586
195,-17.1052,0.0271305,0.573037
