iter,f,grad_norm,time_ms
1,-4.47057,147.995,0.002922
2,-8.0919,124.128,0.041653
3,-10.8752,101.436,0.045406
4,-12.8756,80.881,0.048189
5,-14.2115,63.9915,0.05099
6,-15.0615,52.7075,0.05372
7,-15.6261,48.0712,0.056505
8,-16.0803,48.5384,0.059173
9,-16.5445,51.0213,0.061747
10,-17.0798,53.1755,0.064366
11,-17.6995,53.9014,0.066909
12,-18.3852,52.8956,0.069483
13,-19.1017,50.2597,0.071919
14,-19.8086,46.2986,0.07444
15,-20.4688,41.4385,0.076916
16,-21.0544,36.2104,0.079444
17,-21.5497,31.2661,0.081961
18,-21.953,27.3737,0.084588
19,-22.2758,25.2535,0.087157
20,-22.5397,25.1611,0.089629
21,-22.7723,26.6218,0.092219
22,-23.0012,28.7761,0.094654
23,-23.2496,30.8695,0.097217
24,-23.5327,32.4242,0.099709
25,-23.8565,33.2078,0.102212
26,-24.219,33.1679,0.104894
27,-24.612,32.3818,0.107408
28,-25.0241,31.0205,0.109952
29,-25.4438,29.3213,0.11243
30,-25.8613,27.5597,0.114868
31,-26.2705,26.0107,0.117336
32,-26.6692,24.8949,0.119765
33,-27.0585,24.3186,0.122294
34,-27.4424,24.2421,0.124782
35,-27.8259,24.5074,0.127306
36,-28.2135,24.9083,0.129844
37,-28.6086,25.2584,0.132256
38,-29.0124,25.4302,0.134722
39,-29.4241,25.3678,0.137208
40,-29.8413,25.0821,0.1396
41,-30.2606,24.637,0.148637
42,-30.6788,24.1303,0.151713
43,-31.0934,23.6698,0.154265
44,-31.5029,23.3472,0.156675
45,-31.9074,23.2153,0.159122
46,-32.3082,23.2757,0.161593
47,-32.7072,23.484,0.16405
48,-33.1066,23.7674,0.166544
49,-33.5084,24.0475,0.169064
50,-33.9138,24.2594,0.171622
51,-34.3234,24.3634,2.78424
52,-34.7369,24.3476,2.78963
53,-35.1537,24.2255,2.79264
54,-35.5726,24.0288,2.79534
55,-35.9927,23.7978,2.79789
56,-36.4135,23.5716,2.8004
57,-36.8347,23.3796,2.80296
58,-37.2564,23.2365,2.80542
59,-37.6792,23.1415,2.80783
60,-38.1034,23.0826,2.81027
61,-38.5295,23.0419,2.81287
62,-38.9577,23.0028,2.81532
63,-39.388,22.954,2.81782
64,-39.8201,22.8923,2.82037
65,-40.2536,22.8213,2.82282
