iter,f,grad_norm,time_ms
1,-4.43855,147.995,0.013837
2,-7.96153,122.591,0.05019
3,-10.579,97.9704,0.053931
4,-12.3441,74.8654,0.056896
5,-13.3715,54.5686,0.059549
6,-13.8354,39.365,0.062138
7,-13.9386,32.3887,0.064736
8,-13.8714,33.8326,0.067176
9,-13.7804,38.9634,0.069732
10,-13.758,43.8421,0.072263
11,-13.847,46.9397,0.074943
12,-14.0523,47.906,0.077346
13,-14.3529,46.8448,0.080027
14,-14.7134,44.0389,0.082574
15,-15.0936,39.8558,0.085082
16,-15.4559,34.7198,0.08756
17,-15.7714,29.1146,0.090049
18,-16.023,23.6124,0.092633
19,-16.2058,18.9261,0.095142
20,-16.3261,15.8902,0.097748
21,-16.3973,15.0396,0.100336
22,-16.4364,15.9274,0.103174
23,-16.4593,17.4785,0.105793
24,-16.4783,18.8481,0.108304
25,-16.5003,19.6122,0.110856
26,-16.5277,19.6338,0.113492
27,-16.5589,18.9523,0.115946
28,-16.5908,17.72,0.118448
29,-16.6204,16.1657,0.12097
30,-16.6458,14.5631,0.123528
31,-16.6672,13.1861,0.126093
32,-16.6861,12.2344,0.128687
33,-16.705,11.7486,0.131203
34,-16.7262,11.5906,0.133676
35,-16.7507,11.5296,0.136203
36,-16.7784,11.3543,0.138694
37,-16.8076,10.9344,0.14118
38,-16.836,10.2332,0.143667
39,-16.8613,9.3002,0.146181
40,-16.8816,8.26121,0.148695
41,-16.8964,7.30465,0.151239
42,-16.9066,6.64313,0.153641
43,-16.9139,6.4149,0.156069
44,-16.9207,6.5744,0.158533
45,-16.9294,6.91805,0.160888
46,-16.9412,7.21965,0.16323
47,-16.9567,7.31692,0.165624
48,-16.9748,7.12536,0.168007
49,-16.9939,6.62761,0.170402
50,-17.012,5.86156,0.172751
51,-17.0272,4.91548,0.18036
52,-17.0384,3.93478,0.182889
53,-17.0453,3.14439,0.185351
54,-17.0488,2.82273,0.187852
55,-17.0502,3.04593,0.190315
56,-17.0511,3.5474,0.192736
57,-17.0528,4.03992,0.195207
58,-17.0562,4.36823,0.197544
59,-17.0614,4.47183,0.199851
60,-17.0681,4.34783,0.202198
61,-17.0755,4.0337,0.204583
62,-17.0827,3.59923,0.206905
63,-17.0891,3.14172,3.05184
64,-17.0944,2.77563,3.05638
65,-17.0985,2.59641,3.05954
66,-17.1018,2.61799,3.06191
67,-17.1049,2.76013,3.06423
68,-17.1081,2.91677,3.06703
69,-17.1118,3.01328,3.0697
70,-17.116,3.01727,3.07229
71,-17.1206,2.93073,3.07497
72,-17.1255,2.78031,3.07754
73,-17.1304,2.60734,3.08012
74,-17.1351,2.45569,3.0827
75,-17.1396,2.35657,3.0853
76,-17.1439,2.31611,3.08788
77,-17.1481,2.3159,3.09038
78,-17.1522,2.32725,3.09296
79,-17.1562,2.32715,3.09552
80,-17.1603,2.30672,3.0981
81,-17.1644,2.27144,3.10066
82,-17.1685,2.23606,3.10324
83,-17.1726,2.21626,3.10584
84,-17.1766,2.22028,3.10842
85,-17.1806,2.24461,3.11093
86,-17.1847,2.27623,3.1135
87,-17.1888,2.29937,3.11614
88,-17.193,2.30221,3.11874
89,-17.1973,2.28092,3.1213
90,-17.2015,2.2403,3.12388
91,-17.2058,2.19172,3.12649
92,-17.21,2.14879,3.12901
93,-17.2142,2.12214,3.13163
94,-17.2184,2.11519,3.1342
95,-17.2226,2.12336,3.13691
96,-17.2269,2.13712,3.13949
97,-17.2313,2.14671,3.14207
98,-17.2357,2.1461,3.14462
99,-17.2402,2.13476,3.14718
100,-17.2447,2.11719,3.14976
101,-17.2492,2.10064,3.17193
102,-17.2537,2.09198,3.17615
103,-17.2582,2.09478,3.17945
104,-17.2627,2.10807,3.18247
105,-17.2673,2.12706,3.18627
106,-17.2719,2.14547,3.18876
107,-17.2765,2.15797,3.19126
108,-17.2811,2.16184,3.19359
109,-17.2858,2.15739,3.19601
110,-17.2906,2.14737,3.19834
111,-17.2953,2.13563,3.20063
112,-17.3001,2.12567,3.20295
113,-17.3049,2.11958,3.20536
114,-17.3097,2.11766,3.20769
115,-17.3146,2.11886,3.21008
116,-17.3195,2.12155,3.21245
117,-17.3244,2.12441,3.21487
118,-17.3293,2.12684,3.21718
119,-17.3343,2.12896,3.21948
120,-17.3393,2.13136,3.22178
121,-17.3444,2.13454,3.48226
122,-17.3494,2.13869,3.48658
123,-17.3545,2.1435,3.49002
124,-17.3597,2.14838,3.49314
125,-17.3648,2.1527,3.49602
126,-17.37,2.15603,3.49846
127,-17.3753,2.1583,3.50106
128,-17.3805,2.1597,3.50351
129,-17.3858,2.16062,3.50588
130,-17.3911,2.1614,3.50825
131,-17.3965,2.1623,3.51059
132,-17.4019,2.16343,3.51294
133,-17.4073,2.16482,3.51534
134,-17.4127,2.16645,3.51765
135,-17.4182,2.16837,3.52006
136,-17.4237,2.17064,3.52248
137,-17.4292,2.17331,3.5248
138,-17.4348,2.17637,3.52699
139,-17.4404,2.17973,3.52925
140,-17.4461,2.18322,3.53154
141,-17.4517,2.18661,3.53386
142,-17.4574,2.18976,3.53618
143,-17.4632,2.19258,3.53847
144,-17.4689,2.19509,3.54082
145,-17.4747,2.19738,3.54315
146,-17.4805,2.19959,3.54544
147,-17.4864,2.20184,3.54774
148,-17.4923,2.20419,3.55012
149,-17.4982,2.20668,3.55251
150,-17.5042,2.2093,3.55485
151,-17.5102,2.21201,3.57179
152,-17.5162,2.21482,3.5757
153,-17.5223,2.21768,3.57916
154,-17.5284,2.22061,3.5819
155,-17.5345,2.22357,3.58437
156,-17.5406,2.22653,3.58686
157,-17.5468,2.22946,3.58925
158,-17.5531,2.23231,3.59169
159,-17.5593,2.23506,3.59408
160,-17.5656,2.23772,3.59652
161,-17.5719,2.2403,3.59899
162,-17.5783,2.24286,3.60133
163,-17.5847,2.24544,3.60378
164,-17.5911,2.24808,3.60618
165,-17.5976,2.25082,3.6086
166,-17.6041,2.25367,3.61105
167,-17.6106,2.25664,3.61341
168,-17.6172,2.25972,3.61587
169,-17.6238,2.26288,3.61828
170,-17.6304,2.2661,3.62058
171,-17.6371,2.26935,3.62285
172,-17.6438,2.27259,3.62521
173,-17.6506,2.27579,3.62748
174,-17.6573,2.27892,3.62982
175,-17.6642,2.28198,3.63216
176,-17.671,2.28495,3.63453
177,-17.6779,2.28786,3.63706
178,-17.6848,2.29073,3.63942
179,-17.6918,2.29358,3.64174
180,-17.6988,2.29645,3.64406
181,-17.7058,2.29937,3.64643
182,-17.7129,2.30234,3.64882
183,-17.72,2.30538,3.65113
184,-17.7271,2.3085,3.65351
185,-17.7343,2.31168,3.65593
186,-17.7415,2.31492,3.65824
187,-17.7488,2.3182,3.66053
188,-17.7561,2.32151,3.66283
189,-17.7634,2.32482,3.66518
190,-17.7708,2.32811,3.66746
191,-17.7782,2.33138,3.66976
192,-17.7856,2.33463,3.67211
193,-17.7931,2.33784,3.67442
194,-17.8006,2.34103,3.67677
195,-17.8081,2.34421,3.67925
196,-17.8157,2.3474,3.68165
197,-17.8234,2.3506,3.68411
198,-17.831,2.35382,3.68643
199,-17.8388,2.35707,3.68888
200,-17.8465,2.36036,3.69119
201,-17.8543,2.36368,3.69823
202,-17.8621,2.36704,3.70053
203,-17.87,2.37042,3.70287
204,-17.8779,2.37383,3.7052
205,-17.8858,2.37724,3.70756
206,-17.8938,2.38067,3.7099
207,-17.9018,2.38409,3.71219
208,-17.9099,2.38752,3.71453
209,-17.918,2.39094,3.71679
210,-17.9262,2.39437,3.7191
211,-17.9343,2.3978,3.7214
212,-17.9426,2.40124,3.72376
213,-17.9508,2.4047,3.72611
214,-17.9592,2.40817,3.72843
215,-17.9675,2.41165,3.73076
216,-17.9759,2.41516,3.73303
217,-17.9843,2.41869,3.73533
218,-17.9928,2.42223,3.73771
219,-18.0013,2.42578,3.74001
220,-18.0099,2.42936,3.74239
221,-18.0185,2.43294,3.74476
222,-18.0271,2.43653,3.74712
223,-18.0358,2.44012,3.7495
224,-18.0446,2.44373,3.75183
225,-18.0533,2.44735,3.75417
226,-18.0622,2.45097,3.75647
227,-18.071,2.45461,3.75875
228,-18.0799,2.45826,3.76108
229,-18.0889,2.46193,3.76337
230,-18.0979,2.46561,3.76571
231,-18.1069,2.46931,3.76798
232,-18.116,2.47302,3.77034
233,-18.1251,2.47675,3.77267
234,-18.1343,2.48049,3.77499
235,-18.1435,2.48424,3.77735
236,-18.1528,2.488,3.7797
237,-18.1621,2.49177,3.78206
238,-18.1714,2.49556,3.78443
239,-18.1808,2.49935,3.78675
240,-18.1903,2.50315,3.78903
241,-18.1998,2.50697,3.79139
242,-18.2093,2.5108,3.79371
243,-18.2189,2.51465,3.79605
244,-18.2285,2.5185,3.79842
245,-18.2382,2.52238,3.8007
246,-18.2479,2.52627,3.80301
247,-18.2577,2.53017,3.80536
248,-18.2675,2.53409,3.80772
249,-18.2774,2.53802,3.81012
250,-18.2873,2.54197,3.81254
251,-18.2972,2.54592,3.81698
252,-18.3072,2.54989,3.81932
253,-18.3173,2.55386,3.82169
254,-18.3274,2.55785,3.82403
255,-18.3376,2.56185,3.8264
256,-18.3478,2.56587,3.82877
257,-18.358,2.56989,3.83119
258,-18.3683,2.57393,3.83351
259,-18.3787,2.57799,3.83579
260,-18.3891,2.58205,3.83806
261,-18.3995,2.58614,3.84039
262,-18.41,2.59023,3.84268
263,-18.4206,2.59435,3.84512
264,-18.4312,2.59847,3.8475
265,-18.4419,2.60261,3.84984
266,-18.4526,2.60676,3.85219
267,-18.4633,2.61092,3.8545
268,-18.4741,2.6151,3.85676
269,-18.485,2.61929,3.85913
270,-18.4959,2.62349,3.86145
271,-18.5069,2.62771,3.86373
272,-18.5179,2.63193,3.86605
273,-18.529,2.63617,3.86838
274,-18.5401,2.64043,3.87066
275,-18.5513,2.6447,3.873
276,-18.5625,2.64898,3.87544
277,-18.5738,2.65328,3.87777
278,-18.5852,2.65759,3.88005
279,-18.5966,2.66192,3.88234
280,-18.608,2.66626,3.88464
281,-18.6195,2.67061,3.88696
282,-18.6311,2.67497,3.88929
283,-18.6427,2.67935,3.89165
284,-18.6544,2.68375,3.89395
285,-18.6661,2.68816,3.89632
286,-18.6779,2.69258,3.89879
287,-18.6897,2.69701,3.90111
288,-18.7016,2.70146,3.92877
289,-18.7136,2.70592,3.93114
290,-18.7256,2.7104,3.93349
291,-18.7377,2.71489,3.93588
292,-18.7498,2.71939,3.93818
293,-18.762,2.72391,3.94049
294,-18.7742,2.72845,3.94285
295,-18.7865,2.73299,3.94518
296,-18.7989,2.73755,3.94749
297,-18.8113,2.74213,3.94976
298,-18.8238,2.74672,3.95215
299,-18.8363,2.75132,3.95447
300,-18.8489,2.75594,3.95678
301,-18.8616,2.76057,3.96118
302,-18.8743,2.76522,3.96363
303,-18.8871,2.76988,3.96599
304,-18.8999,2.77455,3.96838
305,-18.9128,2.77924,3.97075
306,-18.9258,2.78395,3.97307
307,-18.9388,2.78867,3.97534
308,-18.9519,2.7934,3.97767
309,-18.9651,2.79815,3.98002
310,-18.9783,2.80291,3.98237
311,-18.9916,2.80768,3.98471
312,-19.0049,2.81248,3.98696
313,-19.0183,2.81728,3.98931
314,-19.0318,2.8221,3.99163
315,-19.0453,2.82694,3.99391
316,-19.0589,2.83179,3.99626
317,-19.0726,2.83665,3.99857
318,-19.0863,2.84153,4.00093
319,-19.1001,2.84643,4.00323
320,-19.1139,2.85133,4.00562
321,-19.1279,2.85626,4.00801
322,-19.1419,2.8612,4.01035
323,-19.1559,2.86615,4.01268
324,-19.17,2.87112,4.01501
325,-19.1842,2.87611,4.01745
326,-19.1985,2.8811,4.01973
327,-19.2128,2.88612,4.02206
328,-19.2272,2.89115,4.02438
329,-19.2417,2.89619,4.02674
330,-19.2562,2.90125,4.02909
331,-19.2708,2.90633,4.03139
332,-19.2855,2.91142,4.03384
333,-19.3002,2.91652,4.03615
334,-19.315,2.92164,4.03847
335,-19.3299,2.92678,4.04081
336,-19.3449,2.93193,4.04314
337,-19.3599,2.9371,4.04547
338,-19.375,2.94228,4.04778
339,-19.3902,2.94748,4.05009
340,-19.4054,2.95269,4.05247
341,-19.4207,2.95792,4.05484
342,-19.4361,2.96317,4.05713
343,-19.4516,2.96843,4.05947
344,-19.4671,2.9737,4.06179
345,-19.4827,2.979,4.06412
346,-19.4984,2.9843,4.06642
347,-19.5141,2.98963,4.06872
348,-19.53,2.99497,4.07107
349,-19.5459,3.00032,4.07341
350,-19.5619,3.00569,4.07572
351,-19.5779,3.01108,4.08003
352,-19.594,3.01648,4.0824
353,-19.6103,3.0219,4.08483
354,-19.6265,3.02734,4.0872
355,-19.6429,3.03279,4.08953
356,-19.6594,3.03826,4.09183
357,-19.6759,3.04374,4.0941
358,-19.6925,3.04924,4.09645
359,-19.7092,3.05476,4.09877
360,-19.7259,3.06029,4.10112
361,-19.7428,3.06584,4.10347
362,-19.7597,3.0714,4.10582
363,-19.7767,3.07698,4.10815
364,-19.7938,3.08258,4.11048
365,-19.8109,3.0882,4.11279
366,-19.8282,3.09383,4.11515
367,-19.8455,3.09947,4.11746
368,-19.8629,3.10514,4.11975
369,-19.8804,3.11082,4.12207
370,-19.898,3.11652,4.12436
371,-19.9157,3.12223,4.12668
372,-19.9334,3.12796,4.12906
373,-19.9512,3.13371,4.13138
374,-19.9691,3.13947,4.13369
375,-19.9871,3.14525,4.13596
376,-20.0052,3.15105,4.13821
377,-20.0234,3.15687,4.1406
378,-20.0417,3.1627,4.14293
379,-20.06,3.16855,4.14526
380,-20.0784,3.17441,4.14761
381,-20.097,3.1803,4.14994
382,-20.1156,3.1862,4.15231
383,-20.1343,3.19212,4.15463
384,-20.1531,3.19805,4.15693
385,-20.1719,3.204,4.15928
386,-20.1909,3.20997,4.16163
387,-20.21,3.21596,4.1639
388,-20.2291,3.22196,4.16634
389,-20.2484,3.22799,4.16866
390,-20.2677,3.23403,4.17098
391,-20.2871,3.24008,4.17333
392,-20.3067,3.24616,4.17566
393,-20.3263,3.25225,4.17792
394,-20.346,3.25836,4.18016
395,-20.3658,3.26449,4.18247
396,-20.3857,3.27063,4.18477
397,-20.4057,3.2768,4.18706
398,-20.4258,3.28298,4.18942
399,-20.4459,3.28918,4.19175
400,-20.4662,3.29539,4.19398
401,-20.4866,3.30163,4.19831
402,-20.5071,3.30788,4.2007
403,-20.5277,3.31415,4.20311
404,-20.5483,3.32044,4.2055
405,-20.5691,3.32675,4.20781
406,-20.59,3.33307,4.21013
407,-20.6109,3.33942,4.21251
408,-20.632,3.34578,4.21486
409,-20.6532,3.35216,4.21723
410,-20.6745,3.35856,4.21959
411,-20.6958,3.36498,4.22193
412,-20.7173,3.37141,4.22416
413,-20.7389,3.37787,4.22641
414,-20.7606,3.38434,4.2287
415,-20.7824,3.39083,4.23103
416,-20.8043,3.39734,4.23338
417,-20.8263,3.40387,4.23568
418,-20.8484,3.41042,4.23799
419,-20.8706,3.41698,4.24034
420,-20.8929,3.42357,4.24262
421,-20.9153,3.43017,4.24496
422,-20.9379,3.4368,4.24727
423,-20.9605,3.44344,4.24956
424,-20.9833,3.4501,4.25187
425,-21.0061,3.45678,4.2542
426,-21.0291,3.46348,4.25655
427,-21.0522,3.4702,4.25886
428,-21.0754,3.47694,4.26125
429,-21.0987,3.48369,4.26355
430,-21.1221,3.49047,4.26583
431,-21.1456,3.49727,4.26813
432,-21.1693,3.50408,4.27047
433,-21.193,3.51092,4.27281
434,-21.2169,3.51777,4.27508
435,-21.2409,3.52465,4.27735
436,-21.265,3.53154,4.27964
437,-21.2892,3.53845,4.28198
438,-21.3135,3.54539,4.28427
439,-21.338,3.55234,4.28664
440,-21.3625,3.55931,4.28896
441,-21.3872,3.56631,4.29123
442,-21.412,3.57332,4.29352
443,-21.437,3.58035,4.29587
444,-21.462,3.58741,4.29814
445,-21.4872,3.59448,4.30044
446,-21.5125,3.60157,4.3028
447,-21.5379,3.60869,4.30511
448,-21.5634,3.61582,4.30745
449,-21.5891,3.62297,4.30976
450,-21.6149,3.63015,4.31205
451,-21.6408,3.63734,4.31638
452,-21.6668,3.64456,4.31879
453,-21.693,3.65179,4.3211
454,-21.7192,3.65905,4.32345
455,-21.7457,3.66633,4.32576
456,-21.7722,3.67363,4.3281
457,-21.7989,3.68094,4.33046
458,-21.8257,3.68828,4.3328
459,-21.8526,3.69564,4.3351
460,-21.8796,3.70302,4.33742
461,-21.9068,3.71043,4.33972
462,-21.9342,3.71785,4.34204
463,-21.9616,3.72529,4.34437
464,-21.9892,3.73276,4.34672
465,-22.0169,3.74025,4.34902
466,-22.0448,3.74775,4.35137
467,-22.0728,3.75528,4.35372
468,-22.1009,3.76283,4.35598
469,-22.1291,3.77041,4.35836
470,-22.1575,3.778,4.36064
471,-22.1861,3.78561,4.36299
472,-22.2148,3.79325,4.36525
473,-22.2436,3.80091,4.36754
474,-22.2725,3.80859,4.36984
475,-22.3016,3.81629,4.37214
476,-22.3309,3.82401,4.37444
