iter,f,grad_norm,time_ms
1,-4.43846,147.995,0.015614
2,-7.9612,122.592,0.066826
3,-10.5782,97.9729,0.07177
4,-12.3429,74.8704,0.075517
5,-13.3699,54.5779,0.079139
6,-13.8335,39.3799,0.082386
7,-13.9368,32.4055,0.085829
8,-13.8698,33.843,0.089577
9,-13.7792,38.9651,0.093435
10,-13.7573,43.8369,0.09707
11,-13.8469,46.9302,0.100763
12,-14.0526,47.8943,0.104821
13,-14.3536,46.8326,0.108654
14,-14.7145,44.0275,0.112299
15,-15.095,39.8461,0.11594
16,-15.4576,34.7125,7.96196
17,-15.7734,29.1102,7.97387
18,-16.0252,23.6115,7.9785
19,-16.2083,18.9288,7.98289
20,-16.3287,15.8959,7.98709
21,-16.4002,15.0462,7.99139
22,-16.4394,15.9328,7.9957
23,-16.4625,17.4816,7.99979
24,-16.4816,18.8488,8.00387
25,-16.5038,19.6104,8.00791
26,-16.5313,19.6294,8.01216
27,-16.5627,18.9447,8.01633
28,-16.5948,17.7085,8.02034
29,-16.6245,16.1493,8.02438
30,-16.65,14.5407,8.02852
31,-16.6714,13.1574,8.03281
32,-16.6903,12.2004,8.0366
33,-16.7091,11.7115,8.04058
34,-16.73,11.553,8.04423
35,-16.7542,11.4933,8.04808
36,-16.7814,11.3198,8.05217
37,-16.8102,10.9011,8.05622
38,-16.8381,10.1995,8.06032
39,-16.8628,9.26345,8.06452
40,-16.8825,8.21781,8.0685
41,-16.8967,7.25038,8.07252
42,-16.9061,6.57491,8.07653
43,-16.9127,6.33315,8.08044
44,-16.9187,6.48247,8.08438
45,-16.9265,6.81862,8.08824
46,-16.9374,7.11295,8.09202
47,-16.9518,7.20096,8.09576
48,-16.9688,6.99627,8.09907
49,-16.9868,6.47927,8.10464
50,-17.0036,5.68433,8.10837
51,-17.0175,4.69389,8.14019
52,-17.0273,3.64516,8.14628
53,-17.0328,2.76395,8.14905
54,-17.0348,2.38252,8.15175
55,-17.0346,2.63561,8.15433
56,-17.0338,3.1956,8.15694
57,-17.0339,3.72859,8.15957
58,-17.0355,4.07533,8.16219
59,-17.039,4.17849,8.16481
60,-17.0438,4.03641,8.16742
61,-17.0493,3.68493,8.17004
62,-17.0545,3.19016,8.17271
63,-17.0588,2.64713,8.17532
64,-17.0619,2.18146,8.17787
65,-17.0638,1.92903,8.18056
66,-17.0649,1.94148,8.18319
67,-17.0657,2.11709,8.18579
68,-17.0665,2.30938,8.18835
69,-17.0677,2.4251,8.19091
70,-17.0694,2.42755,8.19357
71,-17.0715,2.31868,8.19615
72,-17.0737,2.12652,8.19877
73,-17.076,1.89682,8.2014
74,-17.078,1.6842,8.20399
75,-17.0797,1.53631,8.20656
76,-17.0811,1.47045,8.21898
77,-17.0824,1.46268,8.22303
78,-17.0835,1.46815,8.22605
79,-17.0845,1.45024,8.22881
80,-17.0855,1.39377,8.23159
81,-17.0865,1.30529,8.23429
82,-17.0874,1.20812,8.23689
83,-17.0882,1.13318,8.23949
84,-17.089,1.10329,8.24209
85,-17.0897,1.1175,8.24483
86,-17.0904,1.15176,8.24742
87,-17.0911,1.1756,8.25005
88,-17.0918,1.16668,8.25263
89,-17.0924,1.11619,8.25517
90,-17.0931,1.02913,8.25779
91,-17.0937,0.92313,8.26037
92,-17.0943,0.825722,8.26342
93,-17.0947,0.766194,8.26633
94,-17.0951,0.758447,8.26897
95,-17.0956,0.788761,8.27163
96,-17.096,0.827319,8.27427
97,-17.0964,0.847685,8.27694
98,-17.0969,0.835146,8.27955
99,-17.0973,0.786964,8.28215
100,-17.0978,0.710833,8.2847
101,-17.0982,0.623528,8.29575
102,-17.0985,0.54887,8.29885
103,-17.0989,0.510365,8.30155
104,-17.0992,0.515355,8.3042
105,-17.0994,0.547657,8.30688
106,-17.0997,0.582503,8.30948
107,-17.0999,0.601696,8.31214
108,-17.1002,0.596979,8.31483
109,-17.1005,0.568469,8.31755
110,-17.1007,0.522635,8.32024
111,-17.101,0.470424,8.32283
112,-17.1012,0.42474,8.32554
113,-17.1014,0.396035,8.32826
114,-17.1016,0.386788,8.33089
115,-17.1018,0.390299,8.33355
116,-17.1019,0.396211,8.33628
117,-17.1021,0.396611,8.33891
118,-17.1023,0.388308,8.34158
119,-17.1024,0.37239,8.34427
120,-17.1026,0.352749,8.34697
121,-17.1027,0.33416,8.34959
122,-17.1028,0.320193,8.35223
123,-17.103,0.311684,8.35491
124,-17.1031,0.306774,8.35754
125,-17.1032,0.302454,8.36014
126,-17.1033,0.296343,8.36278
127,-17.1034,0.287627,8.36546
128,-17.1035,0.277026,8.36811
129,-17.1036,0.266104,8.37077
130,-17.1037,0.256317,8.3734
131,-17.1038,0.248241,8.37605
132,-17.1039,0.241378,8.37871
133,-17.1039,0.234633,8.3814
134,-17.104,0.227067,8.38403
135,-17.1041,0.218468,8.38676
136,-17.1041,0.209468,8.38935
137,-17.1042,0.201214,8.39201
138,-17.1043,0.194733,8.39467
139,-17.1043,0.190323,8.39736
140,-17.1044,0.187351,8.40004
141,-17.1044,0.184598,8.40274
142,-17.1045,0.180881,8.40536
143,-17.1045,0.17556,8.408
144,-17.1045,0.168743,8.41075
145,-17.1046,0.161173,8.41354
146,-17.1046,0.153875,8.41625
147,-17.1047,0.147699,8.41898
148,-17.1047,0.142945,8.4216
149,-17.1047,0.139284,8.42424
150,-17.1047,0.136018,8.42684
151,-17.1048,0.13248,8.43198
152,-17.1048,0.128342,8.43472
153,-17.1048,0.123691,8.43748
154,-17.1048,0.118916,8.44025
155,-17.1049,0.114467,8.44295
156,-17.1049,0.110615,8.44561
157,-17.1049,0.107338,8.44825
158,-17.1049,0.10437,8.45087
159,-17.1049,0.101381,8.45357
160,-17.105,0.0981544,8.45616
161,-17.105,0.0946707,8.45903
162,-17.105,0.0910827,8.46171
163,-17.105,0.087606,8.46439
164,-17.105,0.0843968,8.4671
165,-17.105,0.0814813,8.46983
166,-17.105,0.0787709,8.47246
167,-17.105,0.0761428,8.4752
168,-17.1051,0.0735276,8.47784
169,-17.1051,0.0709502,8.48046
170,-17.1051,0.0685032,8.48312
171,-17.1051,0.0662758,8.48572
172,-17.1051,0.0642824,8.48834
173,-17.1051,0.0624377,8.49105
174,-17.1051,0.0605943,8.49371
175,-17.1051,0.058617,8.49638
176,-17.1051,0.0564504,8.49907
177,-17.1051,0.0541451,8.50174
178,-17.1051,0.051832,8.50437
179,-17.1051,0.049659,8.50708
180,-17.1051,0.04772,8.50971
181,-17.1051,0.0460145,8.51239
182,-17.1051,0.044459,8.51509
183,-17.1051,0.0429414,8.51768
184,-17.1052,0.0413834,8.52032
185,-17.1052,0.0397769,8.5231
186,-17.1052,0.0381788,8.5258
187,-17.1052,0.0366735,8.52847
188,-17.1052,0.0353221,8.5311
189,-17.1052,0.0341276,8.53382
190,-17.1052,0.0330341,8.53649
191,-17.1052,0.0319581,8.53917
192,-17.1052,0.0308308,8.54181
193,-17.1052,0.0296274,8.54444
194,-17.1052,0.0283723,8.54707
195,-17.1052,0.0271211,8.54968
196,-17.1052,0.025931,8.55234
197,-17.1052,0.0248355,8.55505
198,-17.1052,0.0238346,8.55771
199,-17.1052,0.0229032,8.56043
200,-17.1052,0.0220112,8.56303
201,-17.1052,0.0211401,8.56822
202,-17.1052,0.0202896,8.57092
203,-17.1052,0.0194711,8.57365
204,-17.1052,0.0186957,8.57642
205,-17.1052,0.0179651,8.57904
206,-17.1052,0.0172692,8.58168
207,-17.1052,0.0165925,8.58432
208,-17.1052,0.015923,8.58693
209,-17.1052,0.0152584,8.58962
210,-17.1052,0.0146053,8.59225
211,-17.1052,0.0139741,8.59487
212,-17.1052,0.0133717,8.59762
213,-17.1052,0.0127984,8.60036
214,-17.1052,0.0122487,8.60574
215,-17.1052,0.0117167,8.60833
216,-17.1052,0.0112007,8.61092
217,-17.1052,0.0107045,8.6136
218,-17.1052,0.0102347,8.61629
219,-17.1052,0.0097959,8.61899
220,-17.1052,0.00938652,8.6218
221,-17.1052,0.00899863,8.62479
222,-17.1052,0.00862159,8.62749
223,-17.1052,0.00824718,8.63018
224,-17.1052,0.0078733,8.63288
225,-17.1052,0.00750423,8.6356
226,-17.1052,0.00714768,8.63831
227,-17.1052,0.00681042,8.64106
228,-17.1052,0.00649501,8.64389
229,-17.1052,0.00619923,8.6466
230,-17.1052,0.00591823,8.64926
231,-17.1052,0.00564764,8.65203
232,-17.1052,0.00538569,8.65471
233,-17.1052,0.00513329,8.6575
234,-17.1052,0.00489232,8.66022
235,-17.1052,0.00466365,8.66287
236,-17.1052,0.00444611,8.66554
237,-17.1052,0.00423702,8.6683
238,-17.1052,0.00403387,8.67109
239,-17.1052,0.00383567,8.67377
240,-17.1052,0.00364339,8.67648
241,-17.1052,0.00345908,8.67916
242,-17.1052,0.00328442,8.68187
243,-17.1052,0.00311974,8.68458
244,-17.1052,0.00296394,8.68721
245,-17.1052,0.00281548,8.68991
246,-17.1052,0.00267347,8.69259
247,-17.1052,0.00253812,8.69527
248,-17.1052,0.00241035,8.69807
249,-17.1052,0.00229067,8.70078
250,-17.1052,0.00217831,8.70364
251,-17.1052,0.00207123,8.70889
252,-17.1052,0.00196694,8.7117
253,-17.1052,0.00186375,8.71453
254,-17.1052,0.00176163,8.71735
255,-17.1052,0.00166214,8.72014
256,-17.1052,0.0015675,8.72288
257,-17.1052,0.00147936,8.72586
258,-17.1052,0.00139798,8.72849
259,-17.1052,0.00132221,8.73112
260,-17.1052,0.00125035,8.73382
261,-17.1052,0.00118115,8.73651
262,-17.1052,0.00111444,8.73924
263,-17.1052,0.00105093,8.74199
264,-17.1052,0.000991556,8.74477
265,-17.1052,0.000936641,8.74751
266,-17.1052,0.000885561,8.75023
267,-17.1052,0.000837017,8.75305
268,-17.1052,0.000789729,8.75584
269,-17.1052,0.000743067,8.75861
270,-17.1052,0.000697262,8.76149
271,-17.1052,0.00065313,8.76426
272,-17.1052,0.000611529,8.76709
273,-17.1052,0.000572885,8.76986
274,-17.1052,0.000537051,8.77248
275,-17.1052,0.00050353,8.77527
276,-17.1052,0.000471853,8.80415
277,-17.1052,0.000441835,8.80705
278,-17.1052,0.000413555,8.8098
279,-17.1052,0.00038714,8.81261
280,-17.1052,0.00036253,8.81561
281,-17.1052,0.000339414,8.81833
282,-17.1052,0.00031738,8.82113
283,-17.1052,0.000296146,8.82399
284,-17.1052,0.000275703,8.82678
285,-17.1052,0.000256266,8.82952
286,-17.1052,0.00023808,8.83235
287,-17.1052,0.000221214,8.8352
288,-17.1052,0.000205491,8.83791
289,-17.1052,0.000190613,8.84068
