iter,f,grad_norm,time_ms
1,-15.3659,54.2201,0.00212
2,-24.4444,27.1199,0.02571
3,-85.278,54.4076,0.029
4,-231.033,31.1552,0.032022
5,-341.505,18.9461,0.035008
6,-580.33,8.432,0.037779
7,-5441.35,36.7242,0.040561
8,-5442.47,22.5565,0.043296
9,-10163.6,8.02051,0.045873
10,-10172.1,54.599,0.048639
11,-13333.4,5.82201,0.051459
12,-13444.7,92.0875,0.054107
13,-23179.8,109.536,0.056798
14,-23187.1,2.42763,0.059551
15,-23203.5,16.3674,0.06208
16,-98519.3,1624.58,0.064746
17,-106669,6.89073,0.067429
18,-106690,6.82046,0.070056
19,-106690,7.93957,0.072563
20,-118010,895.774,0.075062
21,-242660,85.8831,0.077726
22,-242685,40.8149,0.080398
23,-244465,0.475499,0.083139
24,-244465,5.37454,0.0858
25,-244465,2.18574,0.088287
26,-246163,216.799,0.090726
27,-246645,235.312,0.093331
28,-246928,7.17155,0.095987
29,-247280,0.413789,0.098446
30,-247280,0.0410051,0.101011
31,-247280,0.00459848,0.10368
32,-247280,0.00178089,0.10634
33,-247280,0.0106786,0.108945
34,-247280,0.000419285,0.111435
35,-247280,0.000564394,0.114045
36,-247280,0.000226898,0.116541
37,-247280,6.19256e-05,0.118972
38,-247280,2.88082e-05,0.121729
39,-247280,0.000197095,0.124298
40,-247280,1.02944e-07,0.126845
