iter,f,grad_norm,time_ms
1,0,147.995294129405,0.002952
2,608.305308175445,1003.57972758733,0.084411
3,31731.4926684219,7245.37155760124,0.087674
4,1684357.66405798,52927.8851314579,0.08985
5,90236995.6433451,387646.196292643,0.091992
6,4844598873.8192,2840748.044633,0.093946
7,260215444741.621,20820135.0871625,0.095909
8,13978234758593.2,152597018.286645,0.097854
9,750898388420578,1118435889.21017,0.099739
10,4.03377899777084e+16,8197410711.71432,0.101598
11,2.16692301736231e+18,60081728121.4319,0.103721
12,1.16405892204397e+20,440360303879.556,0.105721
13,6.25325971559766e+21,3227556960245.85,0.107657
14,3.35921633793298e+23,23655910557026.3,0.109657
15,1.80455233666102e+25,173382565055638,0.111484
16,9.69395480916491e+26,1.27078236100365e+15,0.113461
17,5.20753862015804e+28,9.31401498511371e+15,0.115276
18,2.79746079025e+30,6.82657218148397e+16,0.117605
19,1.50278038126003e+32,5.00343705948064e+17,0.119601
20,8.07285264613418e+33,3.66719661678725e+18,0.121685
21,4.33669155246545e+35,2.6878185667779e+19,0.123619
22,2.32964658784305e+37,1.96999763111836e+20,0.125654
23,1.25147319300664e+39,1.44388118847779e+21,0.127567
24,6.72284440475716e+40,1.0582717732795e+22,0.129661
25,3.61147463190888e+42,7.75644945759582e+22,0.131618
26,1.94006409068343e+44,5.68497712093367e+23,0.133417
27,1.04219164180309e+46,4.16672151894054e+24,0.135282
28,5.5985955487769e+47,3.05393809809227e+25,0.137129
29,3.00753439785374e+49,2.23833963095062e+26,0.138968
30,1.61563075515422e+51,1.64055856489492e+27,0.140709
31,8.67907857965964e+52,1.20242360347569e+28,0.142516
32,4.66235275304081e+54,8.81298938747767e+28,0.144389
33,2.50458997395547e+56,6.45935273719571e+29,0.146277
34,1.34545180725482e+58,4.73428889439059e+30,0.148746
35,7.22769229482451e+59,3.46992837323834e+31,0.150883
36,3.8826761112501e+61,2.54323366908819e+32,0.152823
37,2.08575201737171e+63,1.86402622759254e+33,0.155111
38,1.12045438592339e+65,1.36621098540214e+34,0.157066
39,6.01901865839706e+66,1.00134452455864e+35,0.159273
40,3.2333833545821e+68,7.33920944551933e+35,0.161477
41,1.73695555887724e+70,5.37916710624066e+36,0.163493
42,9.33082867900293e+71,3.94258250451306e+37,0.165471
43,5.01246928235641e+73,2.88965865865351e+38,0.16742
44,2.69267062668343e+75,2.11793339872351e+39,0.16966
45,1.4464876880792e+77,1.55230856350303e+40,0.171941
46,7.77045142852041e+78,1.13774204504125e+41,0.174144
47,4.17424329986338e+80,8.33891528713525e+41,0.176356
48,2.24238028983756e+82,6.11188700189918e+42,0.178384
49,1.2045942229617e+84,4.47961892377218e+43,0.180367
50,6.47101318437741e+85,3.2832717123177e+44,0.182603
51,3.47619230062652e+87,2.40642637696247e+45,0.184942
52,1.86739117455495e+89,1.76375530724896e+46,0.187081
53,1.00315215535608e+91,1.29271886878814e+47,0.189183
54,5.38887759837135e+92,9.47479543705779e+47,0.191368
55,2.894875081031e+94,6.94441388159265e+48,0.193499
56,1.55511079659834e+96,5.08980742425738e+49,0.195662
57,8.35396872750528e+97,3.73050052282946e+50,0.197789
58,4.48770554823442e+99,2.73421624647447e+51,0.199988
59,2.41077046665797e+101,2.00400413744338e+52,0.202094
60,1.29505248961728e+103,1.46880576401684e+53,0.204296
61,6.95694996292599e+104,1.07653987938438e+54,0.206494
62,3.73723483601495e+106,7.8903428914624e+54,0.208562
63,2.00762177304052e+108,5.78311237113237e+55,0.210701
64,1.07848325311132e+110,4.23864832710022e+56,0.212843
65,5.79355206673238e+111,3.10665580881867e+57,0.215187
66,3.11226395524515e+113,2.27697831234552e+58,0.217619
67,1.67189089103695e+115,1.66887822596071e+59,0.220183
68,8.98130490128099e+116,1.22318008827092e+60,0.222645
69,4.82470705248856e+118,8.9651210320104e+60,0.225103
70,2.59180580084892e+120,6.5708554193529e+61,0.227516
71,1.39230366449902e+122,4.81601316790669e+62,0.229762
72,7.4793778667463e+123,3.52982699408334e+63,0.231971
73,4.01788020099072e+125,2.58713549439382e+64,0.234232
74,2.15838290257902e+127,1.89620343364464e+65,0.236523
75,1.15947129359326e+129,1.38979480184055e+66,0.238694
76,6.22861531686734e+130,1.01862994072871e+67,0.24125
77,3.34597751405166e+132,7.46590039605009e+67,0.243553
78,1.79744051526529e+134,5.47202340075198e+68,0.245788
79,9.65575050145803e+135,4.01064017867409e+69,0.248039
80,5.18701547865389e+137,2.93954054373825e+70,0.250383
81,2.78643587277161e+139,2.15449360284862e+71,0.252645
82,1.49685785689681e+141,1.5791048348027e+72,0.255057
83,8.04103717457908e+142,1.15738198340451e+73,0.257608
84,4.31960045805605e+144,8.48286336655239e+73,0.260046
85,2.32046534696126e+146,6.21739165870932e+74,0.26244
86,1.24654108145716e+148,4.55694703161284e+75,0.264871
87,6.6963493757631e+149,3.33994822729824e+76,0.267202
88,3.59724164965868e+151,2.4479666065121e+77,0.269607
89,1.93241821176101e+153,1.79420161594716e+78,0.272043
90,1.03808431816082e+155,1.31503404911806e+79,0.274585
91,5.57653123455807e+156,9.63835131441978e+79,0.277104
92,2.99568157094385e+158,7.06428978949103e+80,0.27949
93,1.60926348244578e+160,5.177668732125e+81,0.281952
94,8.64487394472163e+161,3.79489719398337e+82,0.284335
95,4.64397821334673e+163,2.7814148525088e+83,0.28657
96,2.4947192734033e+165,2.03859767111004e+84,0.289104
97,1.34014932180415e+167,1.49416059273098e+85,0.291593
98,7.19920763782784e+168,1.09512333331302e+86,0.294157
99,3.86737431190021e+170,8.02654762146139e+86,0.296581
100,2.07753197584649e+172,5.88294165230546e+87,0.299167
101,1.11603862532352e+174,4.31181675069028e+88,0.301592
102,5.99529743799262e+175,3.16028354356488e+89,0.30445
103,3.2206404468825e+177,2.31628398264562e+90,0.307034
104,1.73011013971786e+179,1.69768674686974e+91,0.309533
105,9.29405546791778e+180,1.24429487579724e+92,0.312084
106,4.99271491783863e+182,9.11987880443807e+92,0.314459
107,2.68205869190848e+184,6.68428288385811e+93,0.316872
108,1.44078701572569e+186,4.89914818272539e+94,0.319228
109,7.73982773362277e+187,3.59075959730296e+95,0.321652
110,4.15779242124719e+189,2.63179516208278e+96,0.323988
111,2.23354296931994e+191,1.92893608927893e+97,0.326574
112,1.19984686351948e+193,1.41378572699331e+98,0.328956
113,6.44551063343042e+194,1.03621374132576e+99,0.331718
114,3.46249247206454e+196,7.5947783119571e+99,0.334436
115,1.86003170282925e+198,5.56648259981341e+100,0.336953
116,9.99198688067324e+199,4.07987267847463e+101,0.339587
117,5.3676397919284e+201,2.99028350023437e+102,0.342056
118,2.88346624950251e+203,2.19168491677467e+103,0.344546
119,1.54898203573996e+205,1.60636366887658e+104,0.347075
120,8.32104536496336e+206,1.17736095044356e+105,0.349642
121,4.47001930094701e+208,8.62929630747182e+105,0.352235
122,2.40126951295942e+210,6.32471755871409e+106,0.354747
123,1.28994863012041e+212,4.63560999323547e+107,0.357382
124,6.9295323135085e+213,3.39760310399593e+108,0.360048
125,3.72250622720351e+215,2.49022391209096e+109,0.362676
126,1.99970964628534e+217,1.82517349511964e+110,0.365195
127,1.07423290261376e+219,1.33773443870359e+111,0.367705
128,5.7707194201999e+220,9.8047305271453e+111,0.370398
129,3.09999838448867e+222,7.186235020091e+112,0.37304
130,1.66530189462919e+224,5.26704672005076e+113,0.376009
131,8.94590917895911e+225,3.86040549378612e+114,0.378744
132,4.8056926672749e+227,2.82942821063688e+115,0.381519
133,2.58159137884149e+229,2.07378836550566e+116,0.384213
134,1.38681653379385e+231,1.51995310173946e+117,0.386827
135,7.44990130570961e+232,1.11402757866475e+118,0.389307
136,4.002045556306e+234,8.16510354566439e+118,0.392015
137,2.14987661950282e+236,5.98449420716579e+119,0.394602
138,1.15490176562385e+238,4.38624822273294e+120,0.397238
139,6.20406806670392e+239,3.21483701135361e+121,0.399855
140,3.33279086775868e+241,2.35626815555128e+122,0.402447
141,1.79035672220095e+243,1.7269925664217e+123,0.405077
142,9.61769675901018e+244,1.26577415115047e+124,0.407715
143,5.16657321980846e+246,9.27730803752324e+124,0.410365
144,2.77545440498887e+248,6.79966835670212e+125,0.412936
145,1.4909586734663e+250,4.98371829135465e+126,0.415555
146,8.00934708921401e+251,3.65274403171469e+127,0.418407
147,4.30257672041042e+253,2.67722575418696e+128,0.421205
148,2.3113202897584e+255,1.96223378278092e+129,0.424069
149,1.24162840757881e+257,1.4381907884552e+130,0.426819
150,6.66995876485744e+258,1.05410107712345e+131,0.429595
151,3.58306476022496e+260,7.72588094508874e+131,0.432269
152,1.92480246558771e+262,5.66257237309462e+132,0.434906
153,1.03399318166382e+264,4.15030028399773e+133,0.500722
