iter,f,grad_norm,time_ms
1,0,147.995294129405,0.001379
2,561.47288254676,985.67285988055,0.012495
3,31218.2188396514,7214.81336981791,0.014848
4,1678483.55511134,52879.093996122,0.017092
5,90169242.7783304,387570.088446869,0.019242
6,4843856898.19202,2840642.6118096,0.021218
7,260210011571.716,20820106.3871984,0.023309
8,13978375278143.6,152598157.963539,0.025381
9,750912596330391,1118447590.07574,0.027368
10,4.03387172046511e+16,8197510562.6447,0.029517
11,2.1669793710595e+18,60082546577.0112,0.03199
12,1.16409244517473e+20,440366910855.689,0.034196
13,6.25345695030928e+21,3227609800593.59,0.036474
14,3.35933146817232e+23,23656330137623.9,0.03863
15,1.80461910951425e+25,173385876904121,0.040739
16,9.69433996400423e+26,1.27080836862342e+15,0.042944
17,5.20775973401869e+28,9.31421831235056e+15,0.045015
18,2.79758720531441e+30,6.82673052146342e+16,0.047642
19,1.50285239163662e+32,5.00355993920429e+17,0.049849
20,8.0732615117679e+33,3.66729168325854e+18,0.052061
21,4.3369230271786e+35,2.6878919116608e+19,0.054284
22,2.32977729214585e+37,1.97005407607831e+20,0.056549
23,1.25154682178659e+39,1.44392452904652e+21,0.058714
24,6.72325828054326e+40,1.05830498304521e+22,0.06093
25,3.6117068191158e+42,7.75670344680628e+22,0.063224
26,1.94019411465976e+44,5.68517103534474e+23,0.065431
27,1.04226433403638e+46,4.1668693308664e+24,0.067587
28,5.59900132567303e+47,3.0540506015686e+25,0.069716
29,3.00776058636523e+49,2.23842514279231e+26,0.071953
30,1.61575667135686e+51,1.64062347798406e+27,0.074104
31,8.6797786794231e+52,1.20247282120627e+28,0.076213
32,4.66274156618527e+54,8.81336214642303e+28,0.078335
33,2.50480567719693e+56,6.45963475881989e+29,0.08052
34,1.34557135356119e+58,4.73450205768401e+30,0.083131
35,7.22835421528854e+59,3.47008934268432e+31,0.085803
36,3.88304228708473e+61,2.54335511939806e+32,0.088138
37,2.08595441703687e+63,1.86411778619061e+33,0.09058
38,1.12056617164022e+65,1.3662799560663e+34,0.09288
39,6.01963559111766e+66,1.00139644188646e+35,0.09544
40,3.23372359142435e+68,7.33959998000727e+35,0.097844
41,1.73714307244184e+70,5.37946068242878e+36,0.10022
42,9.33186145573897e+71,3.94280305638243e+37,0.102676
43,5.01303776359057e+73,2.88982425175006e+38,0.105036
44,2.69298336011302e+75,2.11805765760592e+39,0.10744
45,1.4466596343075e+77,1.55240175530614e+40,0.109888
46,7.77139632027608e+78,1.13781190102332e+41,0.112452
47,4.17476228233263e+80,8.3394386645421e+41,0.114913
48,2.24266520400133e+82,6.11227894321649e+42,0.117391
49,1.20475056472631e+84,4.47991230375444e+43,0.119852
50,6.4718707037446e+85,3.28349122083245e+44,0.122466
51,3.47666244219632e+87,2.40659054603555e+45,0.12497
52,1.86764882833411e+89,1.76387803918031e+46,0.127404
53,1.00329330326767e+91,1.29281058725501e+47,0.12988
54,5.38965054409935e+92,9.47548060236259e+47,0.132391
55,2.89529820371588e+94,6.94492553904492e+48,0.134784
56,1.55534233988842e+96,5.09018938109085e+49,0.137245
57,8.35523536451232e+97,3.73078556273956e+50,0.139637
58,4.48839822629695e+99,2.73442889312757e+51,0.142053
59,2.41114914887876e+101,2.00416272815217e+52,0.144557
