iter,f,grad_norm,time_ms
1,0,147.995294129405,0.00237
2,608.306403305799,1003.58115810323,0.019543
3,31731.6304832302,7245.39152017963,0.022004
4,1684369.47939623,52928.1022312924,0.024299
5,90237873.0324769,387648.31285469,0.026314
6,4844659168.09095,2840767.4258829,0.028483
7,260219392909.018,20820305.5304957,0.030487
8,13978484983106,152598475.6981,0.032561
9,750913879222336,1118448097.0227,0.034827
10,4.03387322068266e+16,8197511371.48071,0.037119
11,2.16697954649544e+18,60082547867.513,0.039417
12,1.16409246569029e+20,440366912914.695,0.041539
13,6.25345697430042e+21,3227609803878.79,0.043732
14,3.35933147097796e+23,23656330142865.8,0.04599
15,1.8046191098424e+25,173385876912487,0.048088
16,9.69433996438831e+26,1.27080836863679e+15,0.050267
17,5.2077597340638e+28,9.31421831237207e+15,0.052352
18,2.79758720531979e+30,6.82673052146699e+16,0.05484
19,1.50285239163732e+32,5.00355993920497e+17,0.057165
20,8.07326151176907e+33,3.66729168325873e+18,0.059575
21,4.33692302717894e+35,2.6878919116609e+19,0.061686
22,2.32977729214601e+37,1.97005407607838e+20,0.064024
23,1.25154682178668e+39,1.44392452904657e+21,0.066183
24,6.72325828054372e+40,1.05830498304525e+22,0.06848
25,3.61170681911606e+42,7.75670344680657e+22,0.070703
26,1.94019411465991e+44,5.68517103534496e+23,0.07285
27,1.04226433403646e+46,4.16686933086656e+24,0.075018
28,5.59900132567348e+47,3.05405060156873e+25,0.077144
29,3.00776058636548e+49,2.23842514279241e+26,0.07929
30,1.615756671357e+51,1.64062347798413e+27,0.081449
31,8.67977867942389e+52,1.20247282120632e+28,0.083591
32,4.6627415661857e+54,8.81336214642345e+28,0.085755
33,2.50480567719717e+56,6.45963475882021e+29,0.087946
34,1.34557135356133e+58,4.73450205768425e+30,0.090547
35,7.22835421528928e+59,3.4700893426845e+31,0.092955
36,3.88304228708514e+61,2.5433551193982e+32,0.095311
37,2.0859544170371e+63,1.86411778619072e+33,0.097708
38,1.12056617164035e+65,1.36627995606638e+34,0.10005
39,6.01963559111836e+66,1.00139644188652e+35,0.102656
40,3.23372359142473e+68,7.33959998000771e+35,0.105201
