iter,f,grad_norm,time_ms
1,-13.7097,43.2656,0.03024
2,-15.1861,24.8772,0.081928
3,-15.748,18.0583,0.089989
4,-16.0667,14.4462,0.096337
5,-16.2821,12.1668,0.102552
6,-16.4412,10.4792,0.108816
7,-16.5629,9.11178,0.115115
8,-16.6571,7.96782,0.121174
9,-16.7306,7.00469,0.127225
10,-16.7883,6.19461,0.133226
11,-16.8341,5.5143,0.139039
12,-16.8707,4.94301,0.144922
13,-16.9004,4.46241,0.150793
14,-16.9248,4.05661,0.156756
15,-16.9451,3.71207,0.162602
16,-16.9621,3.41744,0.168436
17,-16.9767,3.16334,0.174156
18,-16.9892,2.94215,0.179876
19,-17.0001,2.74774,0.185591
20,-17.0096,2.57522,0.191451
21,-17.018,2.42075,0.197215
22,-17.0254,2.28132,0.203167
23,-17.032,2.15455,0.209002
24,-17.0379,2.03859,0.214828
25,-17.0433,1.93197,0.220602
26,-17.0481,1.83355,0.226368
27,-17.0524,1.74237,0.232097
28,-17.0563,1.65768,0.237877
29,-17.0599,1.57884,0.243567
30,-17.0631,1.50531,0.249268
31,-17.0661,1.43665,0.255014
32,-17.0688,1.37244,7.72916
33,-17.0713,1.31233,7.74108
34,-17.0735,1.25601,7.7462
35,-17.0756,1.20319,7.75096
36,-17.0775,1.15361,7.75564
37,-17.0793,1.10702,7.76081
38,-17.0809,1.06321,7.76564
39,-17.0824,1.02196,7.77034
40,-17.0838,0.983098,7.77493
41,-17.0851,0.946436,7.77983
42,-17.0863,0.911815,7.78454
43,-17.0874,0.879082,7.78922
44,-17.0884,0.848098,7.79377
45,-17.0894,0.818734,7.79825
46,-17.0903,0.790869,7.80318
47,-17.0911,0.764394,7.8078
48,-17.0919,0.739207,7.8124
49,-17.0926,0.715214,7.81701
50,-17.0933,0.692329,7.82206
51,-17.094,0.670474,7.84749
52,-17.0946,0.649577,7.85385
53,-17.0952,0.62957,7.85891
54,-17.0957,0.610394,7.86384
55,-17.0962,0.591992,7.86851
56,-17.0967,0.574315,7.87302
57,-17.0972,0.557315,7.87754
58,-17.0976,0.540951,7.8821
59,-17.098,0.525183,7.8868
60,-17.0984,0.509977,7.89167
61,-17.0988,0.495299,7.89633
62,-17.0991,0.481121,7.90078
63,-17.0994,0.467414,7.9053
64,-17.0997,0.454156,7.9097
65,-17.1,0.441321,7.91478
66,-17.1003,0.42889,7.91796
67,-17.1006,0.416844,7.92118
68,-17.1008,0.405164,7.92434
69,-17.101,0.393835,7.92749
70,-17.1013,0.382841,7.93065
71,-17.1015,0.372168,7.93377
72,-17.1017,0.361803,7.9369
73,-17.1019,0.351735,7.94007
74,-17.102,0.341951,7.9432
75,-17.1022,0.332442,7.94635
76,-17.1024,0.323198,7.94952
77,-17.1025,0.31421,7.95267
78,-17.1027,0.305469,7.95585
79,-17.1028,0.296966,7.95966
80,-17.1029,0.288695,7.96282
81,-17.1031,0.280648,7.96599
82,-17.1032,0.272817,7.96916
83,-17.1033,0.265197,7.97224
84,-17.1034,0.257782,7.97535
85,-17.1035,0.250565,7.97842
86,-17.1036,0.243541,7.98157
87,-17.1037,0.236704,7.9847
88,-17.1038,0.230049,7.98785
89,-17.1038,0.223571,7.991
90,-17.1039,0.217266,7.99417
