iter,f,grad_norm,time_ms
1,-13.7097,43.2657,0.028536
2,-15.1861,24.8772,0.14905
3,-15.748,18.0583,0.205095
4,-16.0667,14.4463,0.216739
5,-16.2822,12.1668,0.348841
6,-16.4412,10.4793,0.355812
7,-16.5629,9.11186,0.362321
8,-16.6571,7.9679,0.368549
9,-16.7306,7.00477,0.374812
10,-16.7884,6.19469,0.38103
11,-16.8341,5.51437,0.387472
12,-16.8708,4.94308,0.39361
13,-16.9005,4.46248,0.420991
14,-16.9248,4.05668,0.429502
15,-16.9451,3.71214,0.436285
16,-16.9622,3.41751,0.44324
17,-16.9767,3.16341,0.449859
18,-16.9892,2.94222,0.45612
19,-17.0001,2.74781,0.462216
20,-17.0096,2.57529,0.468399
21,-17.018,2.42082,0.474467
22,-17.0254,2.28138,0.480913
23,-17.0321,2.15461,0.487043
24,-17.038,2.03865,0.493154
25,-17.0433,1.93204,0.499229
26,-17.0481,1.83361,0.505355
27,-17.0525,1.74243,0.511416
28,-17.0564,1.65774,0.51745
29,-17.0599,1.57889,0.523685
30,-17.0632,1.50537,0.529805
31,-17.0661,1.4367,0.535854
32,-17.0688,1.37249,0.541982
33,-17.0713,1.31238,0.548071
34,-17.0736,1.25606,0.554255
35,-17.0756,1.20324,0.56035
36,-17.0776,1.15366,0.566546
37,-17.0793,1.10707,0.572763
38,-17.0809,1.06326,0.578799
39,-17.0824,1.02201,0.585005
40,-17.0838,0.983147,0.59116
41,-17.0851,0.946485,0.597307
42,-17.0863,0.911863,0.603401
43,-17.0874,0.87913,0.609583
44,-17.0885,0.848146,0.615809
45,-17.0894,0.818781,0.621847
46,-17.0903,0.790915,0.627901
47,-17.0912,0.76444,0.634067
48,-17.092,0.739252,0.640184
49,-17.0927,0.715258,0.646315
50,-17.0934,0.692373,0.652555
51,-17.094,0.670518,0.814928
52,-17.0947,0.64962,0.822499
53,-17.0952,0.629613,0.829728
54,-17.0958,0.610436,0.836462
55,-17.0963,0.592034,0.842781
56,-17.0968,0.574356,0.84895
57,-17.0972,0.557356,0.855165
58,-17.0977,0.540991,0.861342
59,-17.0981,0.525223,0.867588
60,-17.0985,0.510016,0.873788
61,-17.0988,0.495338,0.879919
62,-17.0992,0.481159,0.886013
63,-17.0995,0.467453,0.892184
64,-17.0998,0.454193,0.898318
65,-17.1001,0.441359,0.904446
66,-17.1004,0.428927,0.910548
67,-17.1006,0.416881,0.916799
68,-17.1009,0.4052,0.922938
69,-17.1011,0.393871,0.929102
70,-17.1013,0.382876,0.935159
71,-17.1015,0.372202,0.941382
72,-17.1017,0.361837,0.947611
73,-17.1019,0.351769,0.953713
74,-17.1021,0.341985,0.959783
75,-17.1023,0.332476,0.965983
76,-17.1024,0.323231,0.972102
77,-17.1026,0.314242,0.978179
78,-17.1027,0.305501,0.984201
79,-17.1029,0.296998,0.990322
80,-17.103,0.288726,0.996368
81,-17.1031,0.280678,1.00254
82,-17.1032,0.272847,1.00864
83,-17.1033,0.265227,1.01466
84,-17.1034,0.257811,1.02077
85,-17.1035,0.250594,1.02699
86,-17.1036,0.243569,1.03312
87,-17.1037,0.236732,1.0392
88,-17.1038,0.230076,1.04527
89,-17.1039,0.223598,1.0515
90,-17.104,0.217292,1.05761
91,-17.104,0.211154,1.06377
92,-17.1041,0.205179,1.06985
93,-17.1042,0.199363,1.07598
94,-17.1042,0.193702,1.08196
95,-17.1043,0.188192,1.08807
96,-17.1043,0.182828,1.09422
97,-17.1044,0.177608,1.10015
98,-17.1044,0.172527,1.10633
99,-17.1045,0.167581,1.11235
100,-17.1045,0.162768,1.11844
101,-17.1046,0.158085,1.1272
102,-17.1046,0.153526,1.1334
103,-17.1046,0.149091,1.13957
104,-17.1047,0.144775,1.14564
105,-17.1047,0.140575,1.15174
106,-17.1047,0.136489,1.15776
107,-17.1048,0.132514,1.16386
108,-17.1048,0.128646,1.17017
109,-17.1048,0.124884,1.17623
110,-17.1048,0.121224,1.18246
111,-17.1049,0.117664,1.18864
112,-17.1049,0.114202,1.19472
113,-17.1049,0.110834,1.20077
114,-17.1049,0.107559,1.20698
115,-17.1049,0.104374,1.21262
116,-17.105,0.101276,1.21799
