iter,f,grad_norm,time_ms
1,-14.2492,56.624,0.012732
2,-17.2007,44.8171,0.096637
3,-19.2091,38.727,0.109821
4,-20.7483,34.1851,0.121701
5,-21.9747,30.8472,0.133014
6,-22.994,28.463,0.144667
7,-23.878,26.8006,0.155989
8,-24.6749,25.6604,0.167552
9,-25.4163,24.8833,0.178987
10,-26.1226,24.3507,0.190197
11,-26.8068,23.9788,0.201634
12,-27.4768,23.7112,0.212933
13,-28.1376,23.5107,0.224011
14,-28.7921,23.3539,0.235158
15,-29.4421,23.2257,0.246644
16,-30.0887,23.1166,0.258043
17,-30.7324,23.0208,0.269623
18,-31.3737,22.9346,0.281376
19,-32.0127,22.8554,0.292796
20,-32.6496,22.7818,0.303942
21,-33.2846,22.7126,0.315417
22,-33.9176,22.6471,0.3269
23,-34.5489,22.5848,0.338354
24,-35.1784,22.5251,0.349673
25,-35.8062,22.4679,0.36099
26,-36.4323,22.4127,0.372271
27,-37.0568,22.3595,0.383366
28,-37.6797,22.3081,0.395069
29,-38.301,22.2582,0.40631
30,-38.9208,22.2097,0.417523
31,-39.5392,22.1626,0.429062
32,-40.1561,22.1167,0.440446
33,-40.7715,22.072,0.451905
34,-41.3856,22.0282,0.463402
35,-41.9982,21.9855,0.474691
36,-42.6095,21.9436,0.485964
37,-43.2194,21.9026,0.497007
38,-43.828,21.8623,0.508205
39,-44.4352,21.8228,0.519778
40,-45.0412,21.784,0.530919
41,-45.6458,21.7457,0.542407
42,-46.2491,21.7081,0.553846
43,-46.8511,21.6711,0.565436
44,-47.4518,21.6346,0.576688
45,-48.0513,21.5986,0.587756
46,-48.6495,21.563,0.599321
47,-49.2464,21.5279,0.610517
48,-49.842,21.4933,0.621885
49,-50.4365,21.459,0.633192
50,-51.0296,21.4251,0.644539
51,-51.6215,21.3916,0.665728
52,-52.2122,21.3585,0.677209
53,-52.8017,21.3256,0.688625
54,-53.3899,21.2931,0.700165
55,-53.9769,21.2609,0.711581
56,-54.5626,21.229,0.722662
57,-55.1472,21.1974,0.73381
58,-55.7305,21.166,0.745292
59,-56.3126,21.1349,0.756733
60,-56.8936,21.1041,0.767903
61,-57.4733,21.0735,0.779236
62,-58.0518,21.0431,0.790581
63,-58.6291,21.013,0.802004
64,-59.2052,20.983,0.813347
65,-59.7801,20.9533,0.824609
66,-60.3539,20.9239,0.835783
67,-60.9264,20.8946,0.84693
68,-61.4978,20.8655,0.858376
69,-62.068,20.8366,0.869906
70,-62.637,20.8079,0.881237
71,-63.2048,20.7793,0.892198
72,-63.7715,20.751,0.903463
73,-64.3371,20.7228,0.914895
74,-64.9014,20.6948,0.926208
75,-65.4646,20.667,0.938187
76,-66.0267,20.6393,0.949278
77,-66.5876,20.6118,0.96013
78,-67.1473,20.5845,0.971136
79,-67.706,20.5573,0.982122
80,-68.2635,20.5302,0.992618
81,-68.8198,20.5033,1.00349
82,-69.375,20.4766,1.0146
83,-69.9291,20.45,1.02564
84,-70.4821,20.4235,1.03637
85,-71.0339,20.3972,1.04723
86,-71.5847,20.371,1.05786
87,-72.1343,20.3449,1.06884
88,-72.6828,20.319,1.07992
89,-73.2302,20.2932,1.09071
90,-73.7766,20.2676,1.10167
91,-74.3218,20.242,1.11256
92,-74.8659,20.2166,1.12335
93,-75.4089,20.1913,1.13404
94,-75.9509,20.1662,1.14502
95,-76.4918,20.1411,1.15579
96,-77.0316,20.1162,1.1664
97,-77.5703,20.0914,1.17669
98,-78.108,20.0667,1.18691
99,-78.6446,20.0421,1.19672
100,-79.1801,20.0176,1.20731
101,-79.7146,19.9933,1.22221
102,-80.248,19.969,1.23301
103,-80.7804,19.9449,1.24375
104,-81.3117,19.9208,1.25436
105,-81.842,19.8969,1.26505
106,-82.3712,19.8731,1.27578
107,-82.8994,19.8494,1.28629
108,-83.4266,19.8257,1.297
109,-83.9528,19.8022,1.30752
110,-84.4779,19.7788,1.31805
111,-85.002,19.7555,1.32855
112,-85.5251,19.7323,1.33903
113,-86.0472,19.7091,1.34949
114,-86.5682,19.6861,1.36011
115,-87.0883,19.6632,1.37051
116,-87.6074,19.6403,1.3811
117,-88.1255,19.6176,1.39152
118,-88.6425,19.5949,1.4023
119,-89.1586,19.5724,1.41252
120,-89.6737,19.5499,1.42231
121,-90.1879,19.5275,1.43285
122,-90.701,19.5052,1.44345
123,-91.2132,19.483,1.45414
124,-91.7244,19.4609,1.46468
125,-92.2346,19.4388,1.47528
126,-92.7438,19.4169,1.48597
127,-93.2522,19.395,1.49667
128,-93.7595,19.3732,1.50739
129,-94.2659,19.3515,1.51806
130,-94.7713,19.3299,1.52869
131,-95.2758,19.3084,1.53934
132,-95.7794,19.2869,1.55004
133,-96.282,19.2655,1.56086
134,-96.7837,19.2442,1.57149
135,-97.2844,19.223,1.5821
136,-97.7842,19.2019,1.59278
137,-98.2831,19.1808,1.60352
138,-98.7811,19.1598,1.61412
139,-99.2781,19.1389,1.6248
140,-99.7742,19.1181,1.63536
141,-100.269,19.0973,1.64604
142,-100.764,19.0766,1.65689
143,-101.257,19.056,1.66739
144,-101.75,19.0355,1.67797
145,-102.241,19.015,1.68867
146,-102.732,18.9946,1.69923
147,-103.222,18.9743,1.7097
148,-103.711,18.9541,1.72024
149,-104.199,18.9339,1.73092
150,-104.686,18.9138,1.74148
151,-105.172,18.8937,1.75644
152,-105.658,18.8737,1.7679
153,-106.142,18.8538,1.77906
154,-106.626,18.834,1.79044
155,-107.109,18.8142,1.8014
156,-107.59,18.7945,1.81238
157,-108.072,18.7749,1.8232
158,-108.552,18.7553,1.83437
159,-109.031,18.7358,1.84522
160,-109.51,18.7164,1.85631
161,-109.987,18.697,1.8671
162,-110.464,18.6777,1.87797
163,-110.94,18.6584,1.88882
164,-111.415,18.6392,1.89975
165,-111.889,18.6201,1.92624
166,-112.363,18.601,1.93957
167,-112.836,18.582,1.95138
168,-113.307,18.5631,1.96256
169,-113.778,18.5442,1.97381
170,-114.248,18.5254,1.98492
171,-114.718,18.5066,1.99582
172,-115.186,18.488,2.00669
173,-115.654,18.4693,2.01755
174,-116.121,18.4507,2.02857
175,-116.587,18.4322,2.03927
176,-117.052,18.4138,2.05002
177,-117.517,18.3953,2.0611
178,-117.981,18.377,2.07192
179,-118.443,18.3587,2.08283
180,-118.906,18.3405,2.09361
181,-119.367,18.3223,2.10437
182,-119.827,18.3042,2.11497
183,-120.287,18.2861,2.12603
184,-120.746,18.2681,2.13679
185,-121.204,18.2502,2.14743
186,-121.662,18.2323,2.1584
187,-122.118,18.2144,2.16923
188,-122.574,18.1966,2.18016
189,-123.029,18.1789,2.19112
190,-123.484,18.1612,2.20189
191,-123.937,18.1436,2.21321
192,-124.39,18.126,2.2235
193,-124.842,18.1085,2.23407
194,-125.293,18.091,2.24469
195,-125.744,18.0736,2.2552
196,-126.194,18.0562,2.26554
197,-126.643,18.0389,2.27573
198,-127.091,18.0216,2.28594
199,-127.539,18.0044,2.29604
200,-127.985,17.9873,2.30656
201,-128.431,17.9702,2.32138
202,-128.877,17.9531,2.33166
203,-129.321,17.9361,2.3419
204,-129.765,17.9191,2.35209
205,-130.209,17.9022,2.3622
206,-130.651,17.8853,2.3726
207,-131.093,17.8685,2.38275
208,-131.534,17.8518,2.39304
209,-131.974,17.8351,2.40323
210,-132.414,17.8184,2.41353
211,-132.852,17.8018,2.42384
212,-133.291,17.7852,2.43411
213,-133.728,17.7687,2.44437
214,-134.165,17.7522,2.45442
215,-134.601,17.7358,2.46473
216,-135.036,17.7194,2.47482
217,-135.471,17.703,2.48513
218,-135.905,17.6867,2.4957
219,-136.338,17.6705,2.50587
220,-136.771,17.6543,2.5161
221,-137.202,17.6381,2.52641
222,-137.634,17.622,2.53667
223,-138.064,17.606,2.5468
224,-138.494,17.5899,2.55704
225,-138.923,17.574,2.56751
226,-139.352,17.558,2.57767
227,-139.779,17.5422,2.58774
228,-140.207,17.5263,2.59806
229,-140.633,17.5105,2.60816
230,-141.059,17.4948,2.61839
231,-141.484,17.4791,2.62868
232,-141.908,17.4634,2.63869
233,-142.332,17.4478,2.64894
234,-142.755,17.4322,2.65918
235,-143.178,17.4166,2.66932
236,-143.6,17.4012,2.67952
237,-144.021,17.3857,2.68972
238,-144.442,17.3703,2.6998
239,-144.861,17.3549,2.71027
240,-145.281,17.3396,2.72067
241,-145.699,17.3243,2.73086
242,-146.117,17.3091,2.74109
243,-146.535,17.2939,2.75134
244,-146.951,17.2787,2.76158
245,-147.367,17.2636,2.77182
246,-147.783,17.2485,2.78222
247,-148.198,17.2335,2.79237
248,-148.612,17.2185,2.80257
249,-149.025,17.2035,2.8127
250,-149.438,17.1886,2.82322
251,-149.851,17.1737,2.83728
252,-150.262,17.1589,2.84755
253,-150.673,17.1441,2.85797
254,-151.084,17.1293,2.86821
255,-151.494,17.1146,2.87846
256,-151.903,17.0999,2.88875
257,-152.311,17.0853,2.89882
258,-152.719,17.0707,2.909
259,-153.127,17.0561,2.91922
260,-153.534,17.0416,2.92945
261,-153.94,17.0271,2.93946
262,-154.345,17.0127,2.94972
263,-154.75,16.9983,2.95999
264,-155.155,16.9839,2.97014
265,-155.559,16.9695,2.98034
266,-155.962,16.9552,2.9906
267,-156.364,16.941,2.99868
268,-156.767,16.9268,3.00719
269,-157.168,16.9126,3.01512
270,-157.569,16.8984,3.023
271,-157.969,16.8843,3.0304
272,-158.369,16.8703,3.03768
273,-158.768,16.8562,3.04556
274,-159.167,16.8422,3.05313
275,-159.565,16.8282,3.06046
276,-159.962,16.8143,3.06886
277,-160.359,16.8004,3.07773
278,-160.755,16.7866,3.08742
279,-161.151,16.7728,3.09753
280,-161.546,16.759,3.10778
281,-161.94,16.7452,3.11811
282,-162.335,16.7315,3.12831
283,-162.728,16.7178,3.13857
284,-163.121,16.7042,3.14869
285,-163.513,16.6906,3.15888
286,-163.905,16.677,3.16921
287,-164.296,16.6635,3.17936
288,-164.687,16.65,7.83704
289,-165.077,16.6365,7.85142
290,-165.467,16.6231,7.86429
291,-165.856,16.6097,7.87716
292,-166.244,16.5963,7.88985
293,-166.632,16.583,7.90242
294,-167.02,16.5697,7.91518
295,-167.406,16.5564,7.928
296,-167.793,16.5432,7.94072
297,-168.179,16.53,7.9533
298,-168.564,16.5168,7.96698
299,-168.949,16.5037,7.976
300,-169.333,16.4906,7.98505
301,-169.716,16.4775,8.21035
302,-170.1,16.4645,8.22059
303,-170.482,16.4515,8.22966
304,-170.864,16.4385,8.23857
305,-171.246,16.4256,8.24734
306,-171.627,16.4127,8.25605
307,-172.008,16.3998,8.26498
308,-172.388,16.387,8.27391
309,-172.767,16.3742,8.28269
310,-173.146,16.3614,8.29144
311,-173.525,16.3486,8.30013
312,-173.903,16.3359,8.30883
313,-174.28,16.3233,8.31752
314,-174.657,16.3106,8.32632
315,-175.033,16.298,8.33522
316,-175.409,16.2854,8.3442
317,-175.785,16.2729,8.35285
318,-176.16,16.2603,8.3614
319,-176.534,16.2479,8.37009
320,-176.908,16.2354,8.37901
321,-177.282,16.223,8.38766
322,-177.655,16.2106,8.39633
323,-178.027,16.1982,8.4049
324,-178.399,16.1859,8.41352
325,-178.771,16.1736,8.42221
326,-179.142,16.1613,8.43099
327,-179.512,16.149,8.43977
328,-179.882,16.1368,8.44847
329,-180.252,16.1246,8.45704
330,-180.621,16.1125,8.4658
331,-180.989,16.1004,8.47451
332,-181.358,16.0883,8.48328
333,-181.725,16.0762,8.49192
334,-182.092,16.0642,8.5006
335,-182.459,16.0522,8.50948
336,-182.825,16.0402,8.51818
337,-183.191,16.0282,8.52686
338,-183.556,16.0163,8.53553
339,-183.921,16.0044,8.54404
340,-184.285,15.9926,8.55289
341,-184.649,15.9807,8.56161
342,-185.013,15.9689,8.5703
343,-185.376,15.9572,8.57907
344,-185.738,15.9454,8.58777
345,-186.1,15.9337,8.59657
346,-186.462,15.922,8.60529
347,-186.823,15.9103,8.61392
348,-187.183,15.8987,8.62276
349,-187.543,15.8871,8.64389
350,-187.903,15.8755,8.65427
351,-188.262,15.864,9.13299
