iter,f,grad_norm,time_ms
1,-13.7097,43.2667,0.020725
2,-15.1861,24.8812,0.075113
3,-15.7483,18.0672,0.082554
4,-16.0673,14.462,0.088933
5,-16.2833,12.191,0.095288
6,-16.4431,10.5138,0.101585
7,-16.5655,9.15883,0.108072
8,-16.6608,8.02973,0.114244
9,-16.7354,7.08404,0.120576
10,-16.7944,6.29404,0.126861
11,-16.8416,5.63643,0.133137
12,-16.8799,5.09034,0.139359
13,-16.9114,4.63725,0.145502
14,-16.9376,4.26099,0.151577
15,-16.96,3.94777,0.157732
16,-16.9792,3.68595,0.163891
17,-16.996,3.46593,0.16988
18,-17.011,3.27986,0.175926
19,-17.0244,3.12143,0.182234
20,-17.0366,2.98563,0.188259
21,-17.0478,2.86849,0.194245
22,-17.0582,2.76687,0.200204
23,-17.0678,2.67832,0.206257
24,-17.0769,2.60088,0.21242
25,-17.0855,2.53298,0.218347
26,-17.0937,2.47336,0.224256
27,-17.1015,2.42098,0.230418
28,-17.109,2.37496,0.236674
29,-17.1162,2.33457,0.242549
30,-17.1232,2.29916,0.248661
31,-17.1301,2.26819,0.254742
32,-17.1367,2.24116,0.260803
33,-17.1432,2.21763,0.266787
34,-17.1496,2.19723,0.272865
35,-17.1559,2.17959,0.278826
36,-17.1621,2.16442,0.284954
37,-17.1683,2.15143,0.291024
38,-17.1743,2.14038,0.297122
39,-17.1804,2.13103,0.302992
40,-17.1864,2.12319,0.308954
41,-17.1923,2.11668,0.314938
42,-17.1983,2.11135,0.320969
43,-17.2042,2.10705,0.327053
44,-17.2102,2.10365,0.333119
45,-17.2161,2.10105,0.339179
46,-17.222,2.09915,0.345235
47,-17.228,2.09786,0.351242
48,-17.2339,2.09711,0.357358
49,-17.2399,2.09683,0.363358
50,-17.2459,2.09696,0.369483
51,-17.2519,2.09745,0.390193
52,-17.2579,2.09826,0.397354
53,-17.2639,2.09935,0.403626
54,-17.27,2.10068,0.409765
55,-17.276,2.10223,0.416164
56,-17.2822,2.10396,0.42228
57,-17.2883,2.10586,0.428446
58,-17.2944,2.1079,0.434519
59,-17.3006,2.11007,0.440704
60,-17.3069,2.11235,0.446902
61,-17.3131,2.11473,0.453017
62,-17.3194,2.1172,0.459215
63,-17.3257,2.11975,0.465307
64,-17.332,2.12237,0.471446
65,-17.3384,2.12505,0.48434
66,-17.3448,2.12778,0.490776
67,-17.3512,2.13057,0.497063
68,-17.3577,2.1334,0.503184
69,-17.3642,2.13627,0.509261
70,-17.3707,2.13917,0.515367
71,-17.3773,2.14211,0.521228
72,-17.3839,2.14509,0.527332
73,-17.3905,2.14809,0.533623
74,-17.3972,2.15111,0.539959
75,-17.4039,2.15416,0.546064
76,-17.4106,2.15724,0.552182
77,-17.4174,2.16033,0.558246
78,-17.4242,2.16344,0.564253
79,-17.431,2.16658,0.570278
80,-17.4379,2.16973,0.615042
81,-17.4448,2.1729,0.622158
82,-17.4518,2.17609,0.629059
83,-17.4587,2.17929,0.635766
84,-17.4658,2.18251,0.659019
85,-17.4728,2.18574,0.667308
86,-17.4799,2.18899,0.674299
87,-17.487,2.19225,0.680775
88,-17.4942,2.19552,0.687238
89,-17.5014,2.19881,0.693274
90,-17.5086,2.20211,0.699476
91,-17.5159,2.20543,0.705648
92,-17.5232,2.20876,0.711739
93,-17.5305,2.2121,0.717799
94,-17.5379,2.21546,0.723926
95,-17.5453,2.21882,0.730043
96,-17.5528,2.22221,0.736195
97,-17.5603,2.2256,0.742333
98,-17.5678,2.229,0.748339
99,-17.5754,2.23242,0.754493
100,-17.583,2.23585,0.760482
101,-17.5906,2.23929,0.837258
102,-17.5983,2.24275,0.845115
103,-17.606,2.24622,0.851077
104,-17.6138,2.2497,0.856025
105,-17.6216,2.25319,0.860912
106,-17.6294,2.25669,0.865469
107,-17.6373,2.26021,0.870497
108,-17.6452,2.26374,0.875319
109,-17.6531,2.26728,0.88092
110,-17.6611,2.27083,0.886575
111,-17.6692,2.27439,0.892085
112,-17.6773,2.27797,0.896453
113,-17.6854,2.28156,0.901023
114,-17.6935,2.28516,0.905498
115,-17.7017,2.28877,0.910539
116,-17.7099,2.2924,0.916395
117,-17.7182,2.29604,0.922399
118,-17.7265,2.29969,0.928402
119,-17.7349,2.30335,0.9344
120,-17.7433,2.30703,0.940655
121,-17.7517,2.31071,0.946789
122,-17.7602,2.31441,0.952272
123,-17.7687,2.31812,0.956934
124,-17.7773,2.32185,0.961608
125,-17.7859,2.32558,0.967199
126,-17.7946,2.32933,0.973171
127,-17.8033,2.33309,0.979197
128,-17.812,2.33687,0.985277
129,-17.8208,2.34065,0.99153
130,-17.8296,2.34445,0.997792
131,-17.8385,2.34826,1.00384
132,-17.8474,2.35209,1.00983
133,-17.8563,2.35592,1.01541
134,-17.8653,2.35977,1.02116
135,-17.8744,2.36363,1.02722
136,-17.8834,2.3675,1.03322
137,-17.8926,2.37139,1.04879
138,-17.9017,2.37529,1.05589
139,-17.911,2.3792,1.06224
140,-17.9202,2.38312,1.06862
141,-17.9295,2.38706,1.07467
142,-17.9389,2.39101,1.08065
143,-17.9483,2.39497,1.08684
144,-17.9577,2.39895,1.093
145,-17.9672,2.40293,1.09926
146,-17.9767,2.40693,1.10552
147,-17.9863,2.41095,1.11173
148,-17.996,2.41497,1.11787
149,-18.0056,2.41901,1.12397
150,-18.0153,2.42306,1.13013
151,-18.0251,2.42713,1.1435
152,-18.0349,2.4312,1.14979
153,-18.0448,2.4353,1.15581
154,-18.0547,2.4394,1.16093
155,-18.0647,2.44351,1.16647
156,-18.0747,2.44764,1.17221
157,-18.0847,2.45179,1.17794
158,-18.0948,2.45594,1.18405
159,-18.105,2.46011,1.19024
160,-18.1152,2.46429,1.19632
161,-18.1254,2.46849,1.20238
162,-18.1357,2.47269,1.2087
163,-18.1461,2.47691,1.21508
164,-18.1565,2.48115,1.22125
165,-18.167,2.4854,1.22752
166,-18.1775,2.48966,1.23363
167,-18.188,2.49393,1.2398
168,-18.1986,2.49822,1.2459
169,-18.2093,2.50252,1.25208
170,-18.22,2.50683,1.25836
171,-18.2307,2.51116,1.26449
172,-18.2415,2.5155,1.27063
173,-18.2524,2.51985,1.27686
174,-18.2633,2.52422,1.28286
175,-18.2743,2.5286,1.28896
176,-18.2853,2.53299,1.29512
177,-18.2963,2.5374,1.30118
178,-18.3075,2.54182,1.30723
179,-18.3186,2.54626,1.3135
180,-18.3299,2.55071,1.31957
181,-18.3412,2.55517,1.32561
182,-18.3525,2.55964,1.33186
183,-18.3639,2.56413,1.33804
184,-18.3753,2.56863,1.34329
185,-18.3868,2.57315,1.34854
