iter,f,grad_norm,time_ms
1,-13.7097,43.2656,0.028757
2,-15.1861,24.8772,0.089565
3,-15.748,18.0583,0.103922
4,-16.0667,14.4462,0.116941
5,-16.2821,12.1668,0.129026
6,-16.4412,10.4792,0.140464
7,-16.5629,9.11178,0.152591
8,-16.6571,7.96782,0.164897
9,-16.7306,7.00469,0.177172
10,-16.7883,6.19461,0.189786
11,-16.8341,5.5143,0.202085
12,-16.8707,4.94301,0.214528
13,-16.9004,4.46241,0.226707
14,-16.9248,4.05661,0.239079
15,-16.9451,3.71207,0.251631
16,-16.9621,3.41744,0.263844
17,-16.9767,3.16334,0.275845
18,-16.9892,2.94215,0.287982
19,-17.0001,2.74774,0.300151
20,-17.0096,2.57522,0.312446
21,-17.018,2.42075,0.32508
22,-17.0254,2.28132,0.337606
23,-17.032,2.15455,0.349871
24,-17.0379,2.03859,0.362268
25,-17.0433,1.93197,0.374343
26,-17.0481,1.83355,0.386723
27,-17.0524,1.74237,0.399113
28,-17.0563,1.65768,0.41111
29,-17.0599,1.57884,0.423319
30,-17.0631,1.50531,0.435589
31,-17.0661,1.43665,0.447852
32,-17.0688,1.37244,0.459107
33,-17.0713,1.31233,0.469759
34,-17.0735,1.25601,0.480381
35,-17.0756,1.20319,0.491655
36,-17.0775,1.15361,0.503179
37,-17.0793,1.10702,0.515271
38,-17.0809,1.06321,0.527886
39,-17.0824,1.02196,0.540691
40,-17.0838,0.983098,0.552796
41,-17.0851,0.946436,0.56559
42,-17.0863,0.911815,0.596735
43,-17.0874,0.879082,0.610564
44,-17.0884,0.848098,0.622785
45,-17.0894,0.818734,0.635126
46,-17.0903,0.790869,0.647087
47,-17.0911,0.764394,0.659157
48,-17.0919,0.739207,0.671584
49,-17.0926,0.715214,0.683462
50,-17.0933,0.692329,0.695435
51,-17.094,0.670474,0.720554
52,-17.0946,0.649577,0.733892
53,-17.0952,0.62957,0.74601
54,-17.0957,0.610394,0.758079
55,-17.0962,0.591992,0.770234
56,-17.0967,0.574315,0.782386
57,-17.0972,0.557315,0.794601
58,-17.0976,0.540951,0.806758
59,-17.098,0.525183,0.818918
60,-17.0984,0.509977,0.831381
