iter,f,grad_norm,time_ms
1,0,147.995294129405,0.002868
2,2570.51674365743,2035.83416615961,0.019862
3,501105.57372191,28762.1982310316,0.022832
4,102164022.40587,412104.517482789,0.025529
5,21065224215.8296,5922374.78551795,0.028001
6,4355063474666.32,85171208.3424912,0.030126
7,900934669052795,1225071632.34012,0.03253
8,1.86403945953376e+17,17621662195.3184,0.034975
9,3.85683954302116e+19,253475594975.983,0.037755
10,7.98015736981728e+21,3646081202492.9,0.040616
11,1.65117131599737e+24,52446526828742.2,0.043222
12,3.41643372501171e+26,754409552256966,0.045643
13,7.06893369736746e+28,1.08516964217731e+16,0.048486
14,1.46263117608823e+31,1.56094677751529e+17,0.051416
15,3.02632626130153e+33,2.24532160780344e+18,0.053855
16,6.26176359498209e+35,3.22975081326564e+19,0.056488
17,1.29561983558292e+38,4.64578895083179e+20,0.059046
18,2.68076354689449e+40,6.68266879519303e+21,0.06142
19,5.54676070642173e+42,9.61258952980167e+22,0.064089
20,1.14767877868448e+45,1.38270921843395e+24,0.066511
21,2.37465910061502e+47,1.98893833635077e+25,0.068849
22,4.91340081289869e+49,2.86095995677702e+26,0.071171
23,1.01663045200644e+52,4.11530700810934e+27,0.073438
24,2.10350735733504e+54,5.91960461763075e+28,0.075771
25,4.3523614639222e+56,8.51497075674416e+29,0.078367
26,9.00545949914536e+58,1.22482381293275e+31,0.081261
27,1.86331722360359e+61,1.76183032870538e+32,0.084035
28,3.85538469870113e+63,2.53427968526648e+33,0.08664
29,7.97716619944745e+65,3.64539843508868e+34,0.089405
30,1.65055333116421e+68,5.24367133896261e+35,0.092026
31,3.41515549620364e+70,7.54268418134902e+36,0.094447
32,7.0662891304598e+72,1.08496663848555e+38,0.096791
33,1.4620839997113e+75,1.56065477265694e+39,0.099373
34,3.02519410506019e+77,2.24490157855606e+40,0.102168
35,6.25942105590241e+79,3.2291466285166e+41,0.105216
36,1.29513514156127e+82,4.64491987001369e+42,0.108003
37,2.67976066784199e+84,6.68141867833336e+43,0.110739
38,5.54468565207506e+86,9.61079131706318e+44,0.113419
39,1.14724942974422e+89,1.38245055709003e+46,0.116126
40,2.37377073586824e+91,1.98856626863328e+47,0.118723
41,4.91156269977029e+93,2.86042476128031e+48,0.121101
42,1.01625012850921e+96,4.11453716378731e+49,0.123765
43,2.10272043100107e+98,5.91849724605567e+50,0.126553
44,4.35073323674297e+100,8.5133778739103e+51,0.129469
45,9.0020905386306e+102,1.22459468697544e+53,0.13213
46,1.86262015288183e+105,1.76150074574298e+54,0.134787
47,3.85394239152953e+107,2.53380560135918e+55,0.137255
48,7.97418192552471e+109,3.64471649586003e+56,0.139649
49,1.64993585584264e+112,5.2426904132142e+57,0.142547
50,3.4138778796623e+114,7.54127318270946e+58,0.14586
51,7.06364561748097e+116,1.08476367540052e+60,0.148671
52,1.46153703114576e+119,1.56036282330467e+61,0.151588
53,3.02406237385976e+121,2.24448162817803e+62,0.154531
54,6.25707939389343e+123,3.22854255689034e+63,0.157176
55,1.29465062889941e+126,4.64405095180634e+64,0.159656
56,2.67875816398533e+128,6.68016879534226e+65,0.162521
57,5.54261137401847e+130,9.60899344071738e+66,0.16522
58,1.14682024142465e+133,1.38219194413364e+68,0.167764
59,2.37288270346068e+135,1.98819427051799e+69,0.170355
60,4.9097252742838e+137,2.85988966590183e+70,0.173197
61,1.01586994729176e+140,4.11376746347891e+71,0.175741
62,2.10193379905782e+142,5.91739008163493e+72,0.178752
63,4.34910561868681e+144,8.51178528905465e+73,0.181807
64,8.99872283845075e+146,1.22436560388038e+75,0.184618
65,1.86192334293564e+149,1.76117122443517e+76,0.187159
66,3.85250062392795e+151,2.53333160613806e+77,0.189918
67,7.97119876802485e+153,3.64403468420073e+78,0.192677
68,1.64931861151982e+156,5.2417096709661e+79,0.195336
69,3.41260074107988e+158,7.53986244802329e+80,0.198256
70,7.06100309344565e+160,1.08456075028348e+82,0.20091
71,1.46099026720226e+163,1.56007092856694e+83,0.203664
72,3.02293106604224e+165,2.24406175635949e+84,0.206554
73,6.25473860790491e+167,3.22793859826686e+85,0.209342
74,1.29416629749471e+170,4.64318219614621e+86,0.2122
75,2.67775603516737e+172,6.6789191461649e+87,0.214891
76,5.54053787195348e+174,9.60719590069761e+88,0.217883
77,1.14639121366529e+177,1.38193337955558e+90,0.221146
78,2.37199500326782e+179,1.98782234199182e+91,0.223771
79,4.90788853618188e+181,2.85935467062284e+92,0.226453
80,1.01548990830087e+184,4.1129979071572e+93,0.229104
81,2.10114746139517e+186,5.91628312432978e+94,0.232153
82,4.34747860952584e+188,8.51019300212146e+95,0.23489
83,8.99535639813431e+190,1.22413656363955e+97,0.23773
84,1.86122679366745e+193,1.76084176477042e+98,0.240671
85,3.85105939569453e+195,2.5328576995865e+99,0.24379
86,7.96821672653021e+197,3.64335300008692e+100,0.246674
87,1.64870159810934e+200,5.24072911218398e+101,0.249523
88,3.41132408027757e+202,7.53845197724116e+102,0.252309
89,7.0583615579839e+204,1.08435786312735e+104,0.255006
90,1.46044370780425e+207,1.55977908843352e+105,0.25806
91,3.02180018144926e+209,2.24364196308575e+106,0.260793
92,6.25239869760915e+211,3.22733475262501e+107,0.263636
93,1.29368214727937e+214,4.64231360300291e+108,0.266534
94,2.67675428124782e+216,6.67766973075754e+109,0.269534
95,5.53846514558978e+218,9.60539869694096e+110,0.272226
96,1.14596234640608e+221,1.3816748633468e+112,0.274866
97,2.3711076351654e+223,1.98745048304177e+113,0.27819
98,4.90605248520738e+225,2.85881977542462e+114,0.281363
99,1.01511001148333e+228,4.11222849479523e+115,0.284284
100,2.10036141790302e+230,5.91517637410148e+116,0.287584
101,4.34585220903227e+232,8.508601013055e+117,0.290758
102,8.99199121720997e+234,1.22390756624493e+119,0.293952
103,1.86053050497974e+237,1.76051236673719e+120,0.296831
104,3.84961870662749e+239,2.53238388168794e+121,0.299677
105,7.96523580062328e+241,3.64267144349473e+122,0.302418
106,1.64808481552482e+244,5.23974873683353e+123,0.30519
107,3.41004789707663e+246,7.53704177031367e+124,0.308034
108,7.05572101072587e+248,1.08415501392501e+126,0.3108
109,1.45989735287521e+251,1.5594873028942e+127,0.31381
110,3.02066971992247e+253,2.2432222483421e+128,0.31694
111,6.25005966267853e+255,3.22673101994366e+129,0.320142
112,1.29319817818559e+258,4.64144517234603e+130,0.322975
113,2.67575290208642e+260,6.67642054907645e+131,0.326139
114,5.53639319463717e+262,9.60360182938453e+132,0.328905
115,1.14553363958698e+265,1.38141639549827e+134,0.331468
116,2.37022059902917e+267,1.98707869365481e+135,0.334233
117,4.90421712110325e+269,2.85828498028845e+136,0.337162
118,1.01473025678595e+272,4.11145922636608e+137,0.340264
119,2.09957566847132e+274,5.91406983091128e+138,0.343248
120,4.34422641697839e+276,8.50700932179955e+139,0.361769
121,8.98862729520657e+278,1.22367861168851e+141,0.365238
122,1.85983447677503e+281,1.76018303032396e+142,0.368454
123,3.84817855652513e+283,2.53191015242578e+143,0.371382
124,7.96225598988674e+285,3.64199001440031e+144,0.37464
125,1.64746826367991e+288,5.23876854488043e+145,0.377702
126,3.4087721912984e+290,7.53563182719149e+146,0.380661
127,7.05308145130188e+292,1.08395220266937e+148,0.384002
128,1.45935120233865e+295,1.55919557193876e+149,0.387135
129,3.01953968130362e+297,2.24280261211386e+150,0.389996
130,6.24772150278558e+299,3.22612740020168e+151,0.392948
131,1.29271439014563e+302,4.64057690414517e+152,0.395938
132,2.67475189754298e+304,6.67517160107791e+153,0.399094
133,5.53432201880559e+306,9.60180529796542e+154,0.402516
134,inf,1.38115797600093e+156,0.405699
135,inf,1.98670697381794e+157,0.4082
136,inf,2.8577502851956e+158,0.410268
137,inf,4.11069010184283e+159,0.412346
138,inf,5.91296349472047e+160,0.414388
139,inf,8.50541792829941e+161,0.416386
140,inf,1.22344969996228e+163,0.418351
141,inf,1.7598537555192e+164,0.420305
142,inf,2.53143651178345e+165,0.422291
143,inf,3.64130871277982e+166,0.424367
144,inf,5.23778853629037e+167,0.426715
145,inf,7.53422214782526e+168,0.428953
146,inf,1.08374942935332e+170,0.430973
147,inf,1.55890389555699e+171,0.433183
148,inf,2.24238305438634e+172,0.435235
149,inf,3.22552389337794e+173,0.437358
150,inf,4.63970879836994e+174,0.439689
151,inf,6.6739228867182e+175,0.441817
152,inf,9.60000910262075e+176,0.443876
153,inf,1.38089960484574e+178,0.446131
154,inf,1.98633532351814e+179,0.448257
155,inf,2.85721569012736e+180,0.450251
156,inf,4.10992112119855e+181,0.45227
157,inf,5.91185736549031e+182,0.454566
158,inf,8.50382683249886e+183,0.456714
159,inf,1.22322083105823e+185,0.517966
160,inf,1.75952454231138e+186,0.520425
161,inf,2.53096295974436e+187,0.522625
162,inf,3.6406275386094e+188,0.524658
163,inf,5.23680871102905e+189,0.526728
164,inf,7.53281273216564e+190,0.528876
165,inf,1.08354669396978e+192,0.531082
166,inf,1.55861227373869e+193,0.533197
167,inf,2.24196357514486e+194,0.535612
168,inf,3.22492049945131e+195,0.537837
169,inf,4.63884085498995e+196,0.53989
170,inf,6.67267440595361e+197,0.542009
171,inf,9.59821324328766e+198,0.54412
172,inf,1.38064128202366e+200,0.546236
173,inf,1.98596374274241e+201,0.548337
174,inf,2.85668119506502e+202,0.550357
175,inf,4.10915228440632e+203,0.552493
176,inf,5.91075144318208e+204,0.554655
177,inf,8.50223603434223e+205,0.556694
178,inf,1.22299200496834e+207,0.558768
179,inf,1.75919539068899e+208,0.560876
180,inf,2.53048949629194e+209,0.563076
181,inf,3.63994649186521e+210,0.565159
182,inf,5.23582906906217e+211,0.567298
183,inf,7.53140358016329e+212,0.569323
184,inf,1.08334399651164e+214,0.571595
185,inf,1.55832070647364e+215,0.57376
186,inf,2.24154417437473e+216,0.575906
187,inf,3.22431721840069e+217,0.577978
