iter,f,grad_norm,time_ms
1,0,147.995294129405,0.001393
2,2401.45168713788,1995.99462465073,0.018098
3,491623.757388472,28615.2687893383,0.02077
4,101702520.036851,411609.973232897,0.023281
5,21043142368.0407,5920743.17396234,0.025727
6,4354042325383.83,85166199.2525187,0.028102
7,900896115528074,1225062653.5896,0.030352
8,1.86404667976233e+17,17621762156.7514,0.032821
9,3.8569042138405e+19,253478057297.897,0.035301
10,7.98033132768734e+21,3646123750851.41,0.037759
11,1.65121259353884e+24,52447215937505.8,0.040196
12,3.41652860903381e+26,754420488046532,0.042608
13,7.06914892850348e+28,1.08518681613633e+16,0.044959
14,1.46267958773201e+31,1.56097354800825e+17,0.047766
15,3.0264344378734e+33,2.2453630852767e+18,0.050204
16,6.26200398471976e+35,3.22981474680097e+19,0.052629
17,1.2956730010051e+38,4.64588705811359e+20,0.055064
18,2.68088064081405e+40,6.6828187524148e+21,0.057601
19,5.54701765392674e+42,9.61281794391286e+22,0.060042
20,1.1477349787431e+45,1.38274390262975e+24,0.062431
21,2.37478166397741e+47,1.98899085722358e+25,0.064894
22,4.9136674023295e+49,2.8610392876043e+26,0.067204
23,1.01668830052687e+52,4.11542656191063e+27,0.069622
24,2.10363261448703e+54,5.91978441535542e+28,0.072062
25,4.35263214344088e+56,8.51524064324829e+29,0.074534
26,9.00604337736731e+58,1.22486425391344e+31,0.077478
27,1.86344296145602e+61,1.76189083006658e+32,0.080192
28,3.85565505860918e+63,2.53437006358425e+33,0.082919
29,7.97774669709383e+65,3.64553325869193e+34,0.085443
30,1.65067780689773e+68,5.2438722076103e+35,0.088126
31,3.4154220804946e+70,7.54298309148179e+36,0.090668
32,7.06685940719913e+72,1.08501106941179e+38,0.093138
33,1.4622058622367e+75,1.56072074730695e+39,0.095801
34,3.02545425112223e+77,2.24499944723597e+40,0.098637
35,6.25997587756344e+79,3.22929167616079e+41,0.101469
36,1.29525336478449e+82,4.64513465362349e+42,0.104166
37,2.68001237033288e+84,6.68173646548596e+43,0.106839
38,5.54522111303862e+86,9.61126114167186e+44,0.109678
39,1.147363255964e+89,1.38251996633772e+46,0.112395
40,2.37401253133247e+91,1.98866873883521e+47,0.115034
41,4.91207598781639e+93,2.8605759403943e+48,0.11759
42,1.01635902050356e+96,4.11476006584968e+49,0.120226
43,2.10295130026715e+98,5.9188257023435e+50,0.122854
44,4.35122243427742e+100,8.51386159437902e+51,0.125543
45,9.00312654418287e+102,1.22466588633522e+53,0.128177
46,1.86283943868364e+105,1.76160549067821e+54,0.130774
47,3.85440630794793e+107,2.53395962067172e+55,0.133531
48,7.97516290359783e+109,3.64494286216306e+56,0.136131
49,1.65014319346071e+112,5.24302295902868e+57,0.138835
50,3.41431591033244e+114,7.54176150036781e+58,0.141882
51,7.06457062741372e+116,1.08483535114955e+60,0.144813
52,1.46173229016929e+119,1.5604679875469e+61,0.147835
53,3.02447438182915e+121,2.24463586808666e+62,0.150644
54,6.25794842726053e+123,3.22876869023225e+63,0.153382
55,1.29483386447361e+126,4.6443823709858e+64,0.156092
