iter,f,grad_norm,time_ms
1,0,147.995294129405,0.00137
2,2570.50738029349,2035.83747124019,0.0124
3,501107.541778404,28762.2740712414,0.015133
4,102164705.565081,412106.140511609,0.017667
5,21065420360.5245,5922405.90007502,0.020004
6,4355115510260.88,85171768.2359645,0.022457
7,900947814132487,1225081304.66435,0.024743
8,1.86407158498704e+17,17621824620.5207,0.027168
9,3.85691621171391e+19,253478266493.165,0.029649
10,7.98033710756496e+21,3646124451459.92,0.03209
11,1.65121287197984e+24,52447218283889.5,0.034531
12,3.41652874317063e+26,754420495904732,0.036875
13,7.06914899312301e+28,1.08518681876811e+16,0.039241
14,1.46267959084505e+31,1.56097354888968e+17,0.042111
15,3.02643443937318e+33,2.24536308557193e+18,0.044578
16,6.26200398544248e+35,3.2298147468999e+19,0.047082
17,1.29567300103996e+38,4.64588705814681e+20,0.049502
18,2.68088064083095e+40,6.68281875242606e+21,0.052012
19,5.54701765393511e+42,9.61281794391684e+22,0.054502
20,1.14773497874355e+45,1.38274390262991e+24,0.056951
21,2.37478166397774e+47,1.98899085722369e+25,0.059249
22,4.9136674023299e+49,2.86103928760441e+26,0.061559
23,1.01668830052694e+52,4.11542656191077e+27,0.063978
24,2.10363261448717e+54,5.91978441535563e+28,0.077592
25,4.35263214344119e+56,8.5152406432486e+29,0.080407
26,9.00604337736798e+58,1.22486425391349e+31,0.083445
27,1.86344296145617e+61,1.76189083006665e+32,0.086312
28,3.85565505860949e+63,2.53437006358435e+33,0.08896
29,7.9777466970945e+65,3.64553325869209e+34,0.091557
30,1.65067780689788e+68,5.24387220761053e+35,0.09425
31,3.41542208049491e+70,7.54298309148214e+36,0.09695
32,7.06685940719978e+72,1.08501106941184e+38,0.099559
33,1.46220586223684e+75,1.56072074730703e+39,0.102148
34,3.02545425112253e+77,2.24499944723608e+40,0.105098
35,6.25997587756407e+79,3.22929167616096e+41,0.107993
36,1.29525336478463e+82,4.64513465362374e+42,0.110678
37,2.68001237033317e+84,6.68173646548633e+43,5.701238
38,5.54522111303923e+86,9.6112611416724e+44,5.706899
39,1.14736325596413e+89,1.3825199663378e+46,5.711159
40,2.37401253133274e+91,1.98866873883532e+47,5.715013
41,4.91207598781698e+93,2.86057594039447e+48,5.718765
42,1.01635902050368e+96,4.11476006584993e+49,5.722405
43,2.10295130026742e+98,5.91882570234387e+50,5.726056
44,4.35122243427797e+100,8.51386159437957e+51,5.729764
45,9.00312654418405e+102,1.2246658863353e+53,5.733242
46,1.86283943868389e+105,1.76160549067832e+54,5.736937
47,3.85440630794846e+107,2.5339596206719e+55,5.740451
48,7.97516290359896e+109,3.64494286216332e+56,5.74405
49,1.65014319346095e+112,5.24302295902905e+57,5.7482
50,3.41431591033293e+114,7.54176150036837e+58,5.752675
51,7.06457062741477e+116,1.08483535114963e+60,5.756873
52,1.46173229016951e+119,1.56046798754702e+61,5.760929
53,3.02447438182962e+121,2.24463586808683e+62,5.764788
54,6.25794842726152e+123,3.22876869023251e+63,5.768663
55,1.29483386447381e+126,4.64438237098618e+64,5.784714
56,2.67914438106335e+128,6.68065435383477e+65,5.789093
57,5.54342515400628e+130,9.60970459155683e+66,5.79337
58,1.14699165357684e+133,1.38229606631243e+68,5.797703
59,2.37324364779085e+135,1.98834667261429e+69,5.801717
60,4.91048508872369e+137,2.86011266822395e+70,5.805778
61,1.01602984712603e+140,4.11409367772858e+71,5.809706
62,2.10227020670837e+142,5.91786714459633e+72,5.813909
63,4.34981318168445e+144,8.51248276884842e+73,5.817924
64,9.00021065568976e+146,1.22446755088288e+75,5.821858
65,1.86223611137762e+149,1.76132019750091e+76,5.825601
66,3.85315796172668e+151,2.53354924423094e+77,5.829613
67,7.97257994692978e+153,3.64435256124966e+78,5.834589
68,1.64960875317199e+156,5.24217384798395e+79,5.837384
69,3.41321009843193e+158,7.54054010709209e+80,5.84022
70,7.06228258890854e+160,1.08465966134511e+82,5.843103
71,1.46125887148038e+163,1.56021526872161e+83,5.845944
72,3.02349482989197e+165,2.24427234781948e+84,5.848738
73,6.25592163359964e+167,3.22824578900198e+85,5.851496
74,1.29441450002871e+170,4.64363021018129e+86,5.854331
75,2.67827667291363e+172,6.67957241743191e+87,5.857316
76,5.54162977663974e+174,9.60814829352558e+88,5.860201
77,1.14662017154232e+177,1.38207220254783e+90,5.863422
78,2.37247501327119e+179,1.9880246585521e+91,5.866298
79,4.908894704883e+181,2.85964947108065e+92,5.869206
80,1.01570078035945e+184,4.11342739752922e+93,5.872081
81,2.10158933373857e+186,5.91690874208785e+94,5.875052
82,4.34840438551275e+188,8.51110416661898e+95,5.878007
83,8.99729571157915e+190,1.22426924755101e+97,5.880837
84,1.86163297947403e+193,1.76103495052691e+98,5.883786
85,3.85191001981315e+195,2.53313893425072e+99,5.886952
86,7.96999782681596e+197,3.64376235593562e+100,5.889887
87,1.64907448597494e+200,5.24132487445294e+101,5.892638
88,3.41210464467586e+202,7.53931891162126e+102,5.895431
89,7.059995291441e+204,1.08448399999366e+104,5.898285
90,1.46078560611977e+207,1.55996259082419e+105,5.901241
91,3.0225155952068e+209,2.24390888642446e+106,5.904157
92,6.25389549636574e+211,3.22772297245565e+107,5.907102
93,1.2939952714053e+214,4.64287817118934e+108,5.909986
94,2.67740924579298e+216,6.67849065624937e+109,5.913029
95,5.53983498075122e+218,9.60659224753783e+110,5.915869
96,1.14624880982158e+221,1.38184837503811e+112,5.918736
97,2.37170662769311e+223,1.98770269664029e+113,5.922011
98,4.90730483612802e+225,2.85918634895244e+114,5.925077
99,1.01537182016939e+228,4.11276122523438e+115,5.92806
100,2.10090868128657e+230,5.91595049479329e+116,5.931155
101,4.34699604561505e+232,8.50972578765508e+117,5.93425
102,8.99438171154634e+234,1.2240709763345e+119,5.93734
103,1.86103004290985e+237,1.76074974974884e+120,5.940459
104,3.85066248207693e+239,2.53272869072048e+121,5.943446
105,7.96741654298653e+241,3.64317224620573e+122,5.946443
106,1.64854039181373e+244,5.24047603841375e+123,5.949441
107,3.41099954894874e+246,7.53809791392384e+124,5.952305
108,7.05770873477215e+248,1.08430836709069e+126,5.955224
109,1.46031249403803e+251,1.55970995384812e+127,5.958186
110,3.02153667767136e+253,2.24354548389227e+128,5.961294
111,6.25187001534725e+255,3.22720024057981e+129,5.964442
112,1.2935761785596e+258,4.64212625399061e+130,5.96745
113,2.67654209961037e+260,6.67740907025877e+131,5.970496
114,5.53804076615239e+262,9.60503645355276e+132,5.973365
