iter,f,grad_norm,time_ms
1,0,147.995294129405,0.007489
2,2570.52069707801,2035.83689584326,0.044655
3,501107.627096011,28762.2740035736,0.048523
4,102164705.786748,412106.140506191,0.052134
5,21065420360.9356,5922405.90007463,0.055414
6,4355115510261.52,85171768.2359645,0.058723
7,900947814132488,1225081304.66435,0.061768
8,1.86407158498704e+17,17621824620.5207,0.065103
9,3.85691621171391e+19,253478266493.165,0.068433
10,7.98033710756495e+21,3646124451459.92,0.071657
11,1.65121287197984e+24,52447218283889.5,0.074836
12,3.41652874317063e+26,754420495904731,0.078017
13,7.06914899312301e+28,1.08518681876811e+16,0.081415
14,1.46267959084505e+31,1.56097354888968e+17,0.085342
15,3.02643443937318e+33,2.24536308557193e+18,0.088934
16,6.26200398544248e+35,3.2298147468999e+19,0.092414
17,1.29567300103996e+38,4.64588705814681e+20,0.095975
18,2.68088064083094e+40,6.68281875242606e+21,0.099469
19,5.54701765393511e+42,9.61281794391683e+22,0.102976
20,1.14773497874355e+45,1.38274390262991e+24,0.106537
21,2.37478166397773e+47,1.98899085722369e+25,0.109943
22,4.91366740232989e+49,2.8610392876044e+26,0.113255
23,1.01668830052694e+52,4.11542656191077e+27,0.116513
24,2.10363261448717e+54,5.91978441535563e+28,0.119799
25,4.35263214344119e+56,8.51524064324859e+29,0.123241
26,9.00604337736797e+58,1.22486425391349e+31,0.127359
27,1.86344296145617e+61,1.76189083006665e+32,0.131112
28,3.85565505860948e+63,2.53437006358435e+33,0.134897
29,7.97774669709449e+65,3.64553325869208e+34,0.138562
30,1.65067780689788e+68,5.24387220761053e+35,0.142232
31,3.4154220804949e+70,7.54298309148213e+36,0.145906
32,7.06685940719977e+72,1.08501106941184e+38,0.149407
33,1.46220586223684e+75,1.56072074730703e+39,0.153006
34,3.02545425112253e+77,2.24499944723608e+40,0.156814
35,6.25997587756407e+79,3.22929167616096e+41,0.160727
36,1.29525336478462e+82,4.64513465362374e+42,0.164458
37,2.68001237033317e+84,6.68173646548632e+43,0.168201
38,5.54522111303922e+86,9.61126114167239e+44,0.172206
39,1.14736325596413e+89,1.3825199663378e+46,0.176015
40,2.37401253133274e+91,1.98866873883532e+47,0.179688
41,4.91207598781698e+93,2.86057594039447e+48,0.183377
42,1.01635902050368e+96,4.11476006584993e+49,0.187093
43,2.10295130026741e+98,5.91882570234387e+50,0.190819
44,4.35122243427797e+100,8.51386159437956e+51,0.194666
45,9.00312654418404e+102,1.2246658863353e+53,0.198363
46,1.86283943868389e+105,1.76160549067832e+54,0.202002
47,3.85440630794846e+107,2.5339596206719e+55,0.205719
48,7.97516290359894e+109,3.64494286216331e+56,0.209435
49,1.65014319346094e+112,5.24302295902905e+57,0.213285
